hora,estado,potencia_W,kWh_intervalo,kWh_acumulado
2026-07-06 10:46:17,ON,11.459,0.000955,0.000955
2026-07-06 10:48:00,ON,11.455,0.000955,0.000955
2026-07-06 10:53:01,ON,60.024,0.005002,0.005957
2026-07-06 10:58:01,ON,39.807,0.003317,0.009274
2026-07-06 11:03:01,ON,35.834,0.002986,0.01226
2026-07-06 11:08:02,ON,41.276,0.00344,0.0157
2026-07-06 11:13:02,ON,40.374,0.003364,0.019064
2026-07-06 11:18:03,ON,40.505,0.003375,0.02244
2026-07-06 11:23:03,ON,40.789,0.003399,0.025839
2026-07-06 11:28:03,ON,35.41,0.002951,0.028789
2026-07-06 11:33:04,ON,35.668,0.002972,0.031762
2026-07-06 11:38:04,ON,40.458,0.003371,0.035133
2026-07-06 11:43:04,ON,40.485,0.003374,0.038507
2026-07-06 11:48:05,ON,41.5,0.003458,0.041965
2026-07-06 11:53:05,ON,40.9,0.003408,0.045374
2026-07-06 11:58:06,ON,41.174,0.003431,0.048805
2026-07-06 12:03:06,ON,36.054,0.003005,0.051809
2026-07-06 12:08:06,ON,35.644,0.00297,0.05478
2026-07-06 12:13:07,ON,41.362,0.003447,0.058227
2026-07-06 12:18:07,ON,41.651,0.003471,0.061697
2026-07-06 12:23:08,ON,39.399,0.003283,0.064981
2026-07-06 12:28:08,ON,41.426,0.003452,0.068433
2026-07-06 12:33:09,ON,41.442,0.003453,0.071886
2026-07-06 12:38:09,ON,40.787,0.003399,0.075285
2026-07-06 12:43:09,ON,41.027,0.003419,0.078704
2026-07-06 12:48:10,ON,40.394,0.003366,0.08207
2026-07-06 12:53:10,ON,35.435,0.002953,0.085023
2026-07-06 12:58:11,ON,40.308,0.003359,0.088382
2026-07-06 13:03:11,ON,40.787,0.003399,0.091781
2026-07-06 13:08:11,ON,35.95,0.002996,0.094777
2026-07-06 13:13:12,ON,40.56,0.00338,0.098157
2026-07-06 13:18:12,ON,40.609,0.003384,0.101541
2026-07-06 13:23:13,ON,40.432,0.003369,0.10491
2026-07-06 13:28:13,ON,41.254,0.003438,0.108348
2026-07-06 13:33:13,ON,35.478,0.002956,0.111305
2026-07-06 13:38:14,ON,40.528,0.003377,0.114682
2026-07-06 13:43:14,ON,40.928,0.003411,0.118093
2026-07-06 13:48:15,ON,35.495,0.002958,0.121051
2026-07-06 13:53:15,ON,40.2,0.00335,0.124401
2026-07-06 13:58:15,ON,35.566,0.002964,0.127365
2026-07-06 14:03:16,ON,41.717,0.003476,0.130841
2026-07-06 14:08:16,ON,40.686,0.00339,0.134232
2026-07-06 14:13:16,ON,40.259,0.003355,0.137586
2026-07-06 14:18:17,ON,35.286,0.00294,0.140527
2026-07-06 14:23:17,ON,41.61,0.003467,0.143994
2026-07-06 14:28:18,ON,35.62,0.002968,0.146963
2026-07-06 14:33:18,ON,40.451,0.003371,0.150334
2026-07-06 14:38:18,ON,40.599,0.003383,0.153717
2026-07-06 14:43:19,ON,41.363,0.003447,0.157164
2026-07-06 14:48:19,ON,40.596,0.003383,0.160547
2026-07-06 14:53:19,ON,34.599,0.002883,0.16343
2026-07-06 14:58:20,ON,35.81,0.002984,0.166414
2026-07-06 15:03:20,ON,41.672,0.003473,0.169887
2026-07-06 15:08:21,ON,41.628,0.003469,0.173356
2026-07-06 15:13:21,ON,40.473,0.003373,0.176729
2026-07-06 15:18:22,ON,40.983,0.003415,0.180144
2026-07-06 15:23:22,ON,41.355,0.003446,0.18359
2026-07-06 15:28:22,ON,40.967,0.003414,0.187004
2026-07-06 15:33:23,ON,40.341,0.003362,0.190366
2026-07-06 15:38:23,ON,40.799,0.0034,0.193766
2026-07-06 15:43:23,ON,40.481,0.003373,0.197139
2026-07-06 15:48:24,ON,40.462,0.003372,0.200511
2026-07-06 15:53:24,ON,40.763,0.003397,0.203908
2026-07-06 15:58:25,ON,40.352,0.003363,0.207271
2026-07-06 16:03:25,ON,35.563,0.002964,0.210234
2026-07-06 16:08:25,ON,41.713,0.003476,0.21371
2026-07-06 16:13:26,ON,41.367,0.003447,0.217158
2026-07-06 16:18:26,ON,35.442,0.002953,0.220111
2026-07-06 16:23:26,ON,40.686,0.00339,0.223502
2026-07-06 16:28:27,ON,41.066,0.003422,0.226924
2026-07-06 16:33:27,ON,42.111,0.003509,0.230433
2026-07-06 16:38:28,ON,38.566,0.003214,0.233647
2026-07-06 16:43:28,ON,55.369,0.004614,0.238261
2026-07-06 16:48:28,ON,74.08,0.006173,0.244434
2026-07-06 16:53:29,ON,87.253,0.007271,0.251705
2026-07-06 16:58:29,ON,87.108,0.007259,0.258964
2026-07-06 17:03:30,ON,87.186,0.007266,0.26623
2026-07-06 17:08:30,ON,84.031,0.007003,0.273232
2026-07-06 17:13:30,ON,85.516,0.007126,0.280359
2026-07-06 17:18:31,ON,81.707,0.006809,0.287168
2026-07-06 17:23:31,ON,54.242,0.00452,0.291688
2026-07-06 17:28:32,ON,54.929,0.004577,0.296265
2026-07-06 17:33:32,ON,48.004,0.004,0.300265
2026-07-06 17:38:33,ON,40.49,0.003374,0.30364
2026-07-06 17:43:33,ON,36.377,0.003031,0.306671
