runtime,cpu_usage,memory
190.61,114%,6272
246.32,116%,5888
246.35,116%,5888
193.58,114%,6144
252.17,117%,6528
244.86,116%,5888
255.25,117%,5760
242.38,116%,5888
252.84,118%,5760
244.34,116%,5504
234.33,117%,5888
209.58,116%,6272
249.16,116%,6144
194.18,115%,5760
224.90,116%,6400
254.07,116%,6400
254.45,117%,5632
196.71,114%,5888
261.16,117%,5632
245.18,115%,5760
250.13,116%,5760
213.74,114%,5632
219.33,116%,5888
204.21,115%,5632
242.00,117%,6144
214.01,115%,5376
247.18,117%,5632
194.43,113%,6528
221.34,115%,5888
192.79,114%,5632
221.18,114%,5888
259.21,118%,6144
238.36,117%,5632
219.72,115%,5504
251.52,117%,5632
226.67,117%,5632
244.48,116%,5504
238.68,116%,6400
231.49,116%,5504
248.25,116%,6016
205.05,116%,5760
239.67,117%,5632
244.77,117%,5888
206.12,116%,6400
247.64,115%,5504
200.93,115%,5632
258.24,117%,6144
262.15,119%,5760
254.98,117%,5888
193.90,114%,6400
252.94,117%,5632
212.18,116%,5888
237.48,115%,5376
199.52,114%,6272
264.96,118%,5888
245.03,116%,5632
233.89,117%,5888
221.29,116%,5632
213.21,115%,6016
244.49,116%,5760
246.91,116%,5760
199.97,115%,6144
204.66,116%,5248
251.63,117%,5760
251.21,117%,6656
250.41,116%,6272
244.12,117%,5760
250.34,118%,5632
242.06,117%,5888
267.61,118%,6016
253.53,117%,6272
256.33,117%,5888
221.41,116%,5632
251.99,116%,5888
264.73,118%,5760
253.56,117%,5632
240.53,116%,5888
266.27,117%,6016
199.65,113%,5632
237.13,118%,6400
250.24,116%,5504
195.21,114%,6144
246.04,116%,5376
215.21,116%,5760
240.49,117%,5888
216.27,116%,5632
214.80,116%,5504
223.87,115%,5632
197.66,114%,6400
264.35,118%,5888
259.43,118%,6016
208.63,116%,5760
261.09,117%,5888
264.46,118%,6272
255.96,117%,5888
261.08,118%,5632
266.50,118%,5760
238.23,116%,5248
250.73,116%,5376
196.65,115%,5888
