runtime,cpu_usage,memory
5.99,341%,443788
5.75,345%,451680
5.81,345%,438320
5.63,345%,447484
6.02,341%,450440
6.05,344%,444288
5.93,343%,443204
6.29,344%,434856
6.10,343%,441708
6.16,343%,440192
6.10,342%,442112
5.80,342%,447920
6.14,339%,434324
6.02,342%,440160
5.73,346%,451676
6.03,345%,447668
6.36,341%,441996
6.21,341%,438468
6.14,341%,433352
6.26,341%,443520
6.18,341%,435156
6.05,342%,447780
6.36,339%,442572
6.26,341%,444012
6.24,342%,441248
5.74,342%,442768
6.07,342%,438128
6.11,342%,449748
6.19,343%,445220
5.85,342%,443436
5.64,344%,451132
6.15,344%,439888
6.11,345%,443816
6.25,341%,437920
6.00,344%,444640
6.52,343%,450544
6.12,339%,439548
5.87,339%,448500
5.95,339%,446668
6.00,344%,441728
6.21,342%,440932
6.23,347%,450280
6.23,343%,439996
6.07,342%,447016
5.82,345%,444852
6.19,341%,438332
5.93,342%,442408
5.61,346%,451460
5.82,346%,446308
5.87,343%,451280
6.09,344%,443252
5.79,347%,451260
6.24,343%,448476
6.21,343%,444004
5.43,343%,444936
6.17,343%,447452
6.29,342%,446440
6.21,340%,438500
6.15,343%,443608
6.09,344%,447292
6.53,344%,443424
6.20,339%,435448
5.96,343%,439404
6.23,343%,440972
6.12,344%,439512
6.23,342%,441008
6.21,347%,445832
5.76,343%,450556
6.00,340%,439020
5.68,342%,444056
6.04,340%,449128
5.89,344%,445184
6.00,345%,445292
6.04,343%,442352
6.20,339%,450052
6.18,343%,440988
5.81,343%,447068
5.47,342%,447780
6.11,341%,448820
6.31,343%,438552
6.02,342%,449496
5.78,344%,447988
5.95,342%,444912
5.81,345%,442052
6.48,340%,447996
6.12,340%,438784
6.20,342%,439972
6.00,340%,440248
6.32,342%,441140
5.62,341%,447592
5.99,339%,442408
6.18,341%,435696
6.16,338%,437952
6.18,342%,443372
5.93,344%,448764
6.15,342%,447316
6.25,340%,442228
5.78,342%,448520
5.57,344%,451844
6.24,342%,433880
