runtime,cpu_usage,memory
5.20,399%,41508
5.24,399%,41560
5.22,399%,41912
5.24,398%,41508
5.22,399%,41428
5.21,399%,41636
5.21,399%,42364
5.22,399%,43952
5.23,399%,41412
5.24,399%,44180
5.22,399%,41516
5.21,399%,42260
5.22,399%,41556
5.21,399%,41892
5.23,399%,41524
5.23,398%,41560
5.23,399%,44244
5.21,399%,41748
5.22,398%,44252
5.22,399%,41520
5.25,398%,41756
5.21,399%,41628
5.20,399%,41484
5.24,399%,41556
5.23,399%,41636
5.24,399%,41644
5.21,398%,44120
5.27,399%,41768
5.21,399%,44220
5.22,398%,42032
5.24,399%,44156
5.23,398%,41804
5.27,399%,41612
5.23,399%,41656
5.28,399%,41928
5.22,399%,41724
5.22,399%,41596
5.24,399%,41324
5.20,399%,41776
5.20,399%,41576
5.21,398%,44068
5.22,398%,41788
5.21,399%,41912
5.25,399%,41712
5.22,398%,41652
5.21,399%,41668
5.22,399%,42156
5.22,399%,42636
5.27,399%,41928
5.23,399%,43972
5.23,399%,41432
5.23,398%,41556
5.26,398%,41516
5.21,399%,41548
5.23,399%,41452
5.22,399%,41536
5.27,399%,41764
5.21,399%,41656
5.24,398%,42276
5.21,399%,44120
5.21,399%,42028
5.23,398%,41392
5.25,399%,41560
5.23,398%,42172
5.22,399%,41796
5.22,399%,41740
5.22,399%,42252
5.22,399%,41300
5.24,399%,44412
5.20,399%,41304
5.23,399%,41684
5.21,399%,42540
5.22,399%,41612
5.24,398%,41788
5.20,399%,41540
5.26,399%,41460
5.21,399%,41612
5.24,398%,41428
5.22,399%,44468
5.21,399%,41944
5.22,399%,43944
5.22,399%,41908
5.24,399%,41652
5.23,399%,42492
5.23,398%,41804
5.23,399%,41780
5.22,399%,41264
5.21,399%,41892
5.21,399%,42252
5.23,399%,41380
5.21,399%,43916
5.23,398%,42480
5.20,399%,41428
5.22,399%,41764
5.22,399%,41648
5.21,399%,41540
5.21,399%,42040
5.22,399%,42328
5.22,398%,41852
5.23,398%,44452
