timestamp,total,psys,package,core,uncore,dram,cpu_temp
2023-11-16T18:51:36,99697499,98527885,95019959,90887524,5798,1169614,64000
2023-11-16T18:51:40,100504381,99333180,95481018,91299754,2991,1171201,69000
2023-11-16T18:51:44,102583355,101409469,97520320,93289922,3845,1173886,75000
2023-11-16T18:51:50,89234635,87366781,74616142,67925180,3174,1867854,76000
2023-11-16T18:51:56,91273143,89496231,78038130,71595459,3662,1776912,53000
2023-11-16T18:52:01,105803196,104561134,99686757,95231019,3052,1242062,79000
2023-11-16T18:52:07,91460887,89592300,75337027,68611763,14221,1868587,79000
2023-11-16T18:52:13,96229185,94568789,82575899,76524036,3662,1660396,56000
2023-11-16T18:52:17,104338173,102967571,95553771,90624524,3296,1370602,78000
2023-11-16T18:52:24,92081735,90217726,75031241,68303231,3357,1864009,80000
2023-11-16T18:52:30,92132760,90272352,75112967,68404366,3174,1860408,72000
2023-11-16T18:52:34,104399147,103215679,97404047,93092047,3601,1183468,75000
2023-11-16T18:52:41,89438858,87567159,71915649,65190262,5493,1871699,81000
2023-11-16T18:52:47,91185618,89316116,74121637,67375560,4883,1869502,68000
2023-11-16T18:52:51,100785814,99575795,93120916,88687640,4821,1210019,68000
2023-11-16T18:52:56,82024631,80628517,70641298,65601822,3968,1396114,65000
2023-11-16T18:53:01,81731664,80335549,70538332,65531998,9216,1396115,67000
2023-11-16T18:53:06,81613683,80222390,70217289,65212175,5982,1391293,66000
2023-11-16T18:53:10,82789155,81398839,70716555,65715225,3174,1390316,66000
2023-11-16T18:53:15,82731539,81340979,70745913,65726883,4029,1390560,66000
2023-11-16T18:53:20,83073213,81679784,70983583,65966933,3845,1393429,66000
2023-11-16T18:53:25,82238315,80847938,70770388,65767288,3479,1390377,67000
2023-11-16T18:53:29,82665987,81269506,71101808,66080947,3113,1396481,66000
2023-11-16T18:53:33,57067481,55938211,48348204,44339242,3174,1129270,70000
2023-11-16T18:53:38,88813737,87479024,77945967,72995358,4028,1334713,66000
2023-11-16T18:53:43,82817964,81421300,70429080,65404495,3418,1396664,66000
2023-11-16T18:53:47,82932466,81539159,70653018,65639114,3662,1393307,65000
2023-11-16T18:53:52,82740572,81347570,70746401,65667008,3479,1393002,69000
2023-11-16T18:53:57,82331271,80941566,70864016,65697951,3357,1389705,69000
2023-11-16T18:54:02,82485078,81085302,70881105,65763382,11230,1399776,67000
2023-11-16T18:54:07,82709871,81313024,71138429,65989761,5676,1396847,68000
2023-11-16T18:54:11,82437412,81044593,70890688,65755691,3784,1392819,67000
2023-11-16T18:54:16,82659822,81263341,71060121,66020217,3052,1396481,68000
2023-11-16T18:54:21,83498199,82107395,70868471,65745315,3174,1390804,69000
2023-11-16T18:54:26,82619966,81233068,70652651,65585647,3784,1386898,69000
2023-11-16T18:54:30,82772310,81380407,70979676,65742264,3356,1391903,67000
2023-11-16T18:54:35,82248324,80858618,70797792,65541642,3113,1389706,67000
2023-11-16T18:54:40,82491670,81098791,71015138,65848830,3723,1392879,68000
2023-11-16T18:54:45,82439120,81046057,70947450,65700393,3723,1393063,67000
2023-11-16T18:54:49,82284152,80906775,70207706,65164872,3112,1377377,69000
2023-11-16T18:54:54,83568207,82167026,71346069,66038039,3357,1401181,69000
2023-11-16T18:54:59,83471222,82076145,71158204,65872024,2991,1395077,69000
2023-11-16T18:55:04,82787020,81387976,70939821,65656753,10376,1399044,68000
2023-11-16T18:55:09,82324801,80927222,70951845,65714309,6226,1397579,68000
2023-11-16T18:55:13,83236055,81830968,71733947,66421949,3234,1405087,68000
2023-11-16T18:55:18,82240207,80846717,70763002,65536453,3479,1393490,69000
2023-11-16T18:55:23,83242462,81849461,71143312,65930862,3296,1393001,68000
2023-11-16T18:55:28,83525299,82126133,71112855,65865981,3357,1399166,68000
2023-11-16T18:55:33,83401214,82009189,71029298,65756484,3174,1392025,67000
2023-11-16T18:55:37,82662692,81270483,70894533,65623489,4028,1392209,67000
2023-11-16T18:55:42,82660432,81266820,70975099,65703629,3662,1393612,69000
2023-11-16T18:55:47,82419406,81033240,70595828,65344681,3968,1386166,68000
2023-11-16T18:55:52,82331027,80940528,70867250,65590591,3662,1390499,69000
2023-11-16T18:55:56,82629671,81236059,70934389,65662979,8423,1393612,67000
2023-11-16T18:56:01,83588530,82192172,70910707,65634110,10925,1396358,68000
2023-11-16T18:56:06,83744720,82341220,71414123,66086318,5920,1403500,71000
2023-11-16T18:56:11,82497714,81110876,70654239,65402237,3662,1386838,69000
2023-11-16T18:56:16,82540073,81149939,70827516,65556412,3357,1390134,70000
2023-11-16T18:56:20,82037632,80650611,70630618,65362626,3601,1387021,69000
2023-11-16T18:56:25,82638825,81245824,70998659,65722244,3174,1393001,70000
2023-11-16T18:56:30,83589386,82191440,71217530,65913711,3601,1397946,71000
2023-11-16T18:56:35,83925139,82526583,71242555,65927627,3906,1398556,68000
2023-11-16T18:56:39,83640778,82241123,71222291,65930434,3784,1399655,69000
2023-11-16T18:56:44,82884127,81491369,70914247,65622513,3723,1392758,70000
2023-11-16T18:56:49,82813325,81423192,71031923,65752945,3723,1390133,69000
2023-11-16T18:56:54,82361240,80976966,70494449,65262040,3540,1384274,69000
2023-11-16T18:56:59,82872041,81476720,71050172,65760879,3540,1395321,69000
2023-11-16T18:57:03,83436554,82033359,71264954,65953689,10803,1403195,69000
2023-11-16T18:57:08,83919462,82516146,71340149,66005751,5432,1403316,69000
2023-11-16T18:57:13,83312530,81918552,70906495,65621536,3234,1393978,69000
2023-11-16T18:57:18,82995088,81601659,71243775,65948805,2991,1393429,71000
2023-11-16T18:57:22,82627047,81231786,71136170,65849807,3113,1395261,70000
2023-11-16T18:57:27,82598481,81202245,70859743,65567886,3845,1396236,68000
2023-11-16T18:57:32,82805147,81409582,71063844,65772598,3785,1395565,70000
2023-11-16T18:57:37,82536410,81150061,70731996,65473892,3845,1386349,69000
2023-11-16T18:57:42,83792998,82402743,71073244,65806533,3601,1390255,71000
2023-11-16T18:57:46,83135041,81742528,70784243,65492996,2991,1392513,71000
2023-11-16T18:57:51,82182406,80805335,70220646,65006792,3724,1377071,69000
2023-11-16T18:57:56,82918977,81520665,71187074,65863601,3723,1398312,69000
2023-11-16T18:58:01,82837617,81447240,70890016,65605301,3052,1390377,70000
2023-11-16T18:58:05,83694915,82281711,71758483,66408644,13855,1413204,69000
2023-11-16T18:58:10,82508883,81119421,70599917,65340531,3113,1389462,70000
2023-11-16T18:58:15,84320463,82924165,71382447,66079237,3357,1396298,69000
2023-11-16T18:58:20,83367646,81969700,71161439,65840591,3723,1397946,69000
2023-11-16T18:58:25,83520721,82121982,71266602,65964247,3785,1398739,70000
2023-11-16T18:58:29,82695285,81298804,71041322,65732742,4029,1396481,71000
2023-11-16T18:58:34,82604463,81212011,71056031,65754471,2930,1392452,69000
2023-11-16T18:58:39,82801119,81401647,71377625,66055434,3601,1399472,69000
2023-11-16T18:58:44,83311616,81912816,71023744,65721694,3357,1398800,70000
2023-11-16T18:58:49,83627899,82228488,71458924,66134658,3418,1399411,70000
2023-11-16T18:58:53,83407257,82012669,71206483,65924453,3479,1394588,70000
2023-11-16T18:58:58,83077119,81681859,71198975,65906021,3540,1395260,72000
2023-11-16T18:59:03,83095918,81684056,71471619,66128860,10254,1411862,69000
2023-11-16T18:59:08,82504550,81110205,70880555,65581070,5555,1394345,71000
2023-11-16T18:59:13,82897187,81501439,71197938,65896438,3418,1395748,70000
2023-11-16T18:59:17,83229035,81830479,71248903,65929702,3112,1398556,68000
2023-11-16T18:59:21,56744728,55558879,46392582,41905106,3174,1185849,60000
2023-11-16T18:59:28,98827384,97015010,80472877,73658137,2747,1812374,84000
2023-11-16T18:59:34,87766499,85854455,68705757,61473964,5493,1912044,80000
2023-11-16T18:59:40,92147774,90434888,76291675,69750310,12268,1712886,57000
