runtime,cpu_usage,memory
0.98,125%,8064
0.99,123%,8064
1.01,122%,8064
1.05,122%,7680
0.98,121%,7808
0.99,122%,7936
0.99,125%,8064
1.00,123%,7936
0.99,125%,8192
0.98,124%,7680
0.99,124%,7808
1.01,125%,7936
1.03,122%,8064
1.05,121%,7808
0.96,125%,7552
0.99,123%,8192
1.01,121%,8192
1.00,123%,7808
0.99,125%,7808
1.02,124%,7808
0.96,124%,7936
1.00,122%,8064
1.06,122%,8064
1.04,120%,7808
0.99,125%,7936
0.97,124%,8192
1.05,121%,8064
0.98,123%,7936
1.01,123%,7680
1.05,125%,7680
1.04,123%,7808
1.06,122%,7808
1.00,121%,7680
0.99,126%,7808
0.99,125%,7680
0.98,121%,7552
1.04,125%,8064
1.05,125%,7808
1.04,121%,7424
1.03,122%,8192
1.04,123%,7936
1.03,122%,8064
1.01,123%,8064
1.00,123%,7680
0.98,125%,8320
0.99,123%,7552
1.04,123%,7808
1.06,121%,7680
1.04,124%,8064
1.03,124%,7808
1.07,121%,7808
0.98,122%,7680
1.00,124%,8192
1.02,123%,8064
0.98,122%,8064
1.01,122%,7808
1.05,122%,8064
1.04,124%,8064
1.03,121%,7680
1.01,123%,8192
0.98,122%,7680
1.00,124%,7936
1.00,124%,8192
1.06,121%,7936
1.05,122%,7936
0.98,126%,7936
1.00,124%,7936
1.05,123%,7936
1.15,125%,7808
1.01,123%,7808
1.00,124%,7808
1.00,123%,7808
0.98,122%,7680
1.05,121%,7808
1.04,123%,8064
1.00,123%,7936
0.99,123%,8192
1.03,121%,8192
1.04,123%,8192
1.05,122%,7680
1.00,123%,8064
1.02,124%,8064
1.02,122%,7680
1.02,122%,7808
1.01,123%,8192
1.02,121%,8192
1.02,123%,7680
1.02,123%,7936
1.03,123%,7808
1.01,124%,7808
1.89,133%,7936
2.40,123%,8192
1.01,123%,7936
1.00,123%,7680
1.01,124%,7680
0.99,122%,8320
1.70,131%,8320
2.69,128%,8064
1.00,125%,8192
1.02,122%,8320
