runtime,cpu_usage,memory
2.24,111%,502900
2.27,112%,502564
2.41,113%,502780
2.23,112%,502596
2.24,111%,502680
2.22,113%,502688
2.29,112%,502668
2.25,112%,502948
2.26,112%,502828
2.25,112%,502628
2.25,112%,502508
2.26,111%,502732
2.25,112%,502828
2.21,112%,502644
2.24,111%,502720
2.26,112%,505660
2.49,112%,502648
2.24,112%,502592
2.39,111%,502548
2.26,111%,505668
2.26,111%,502728
2.21,113%,502564
2.23,111%,502568
2.22,111%,502580
2.25,112%,505644
2.25,112%,502728
2.22,111%,502624
2.25,112%,502584
2.26,112%,505724
2.35,112%,502708
2.25,112%,502744
2.30,112%,502508
2.48,114%,505860
2.25,112%,502752
2.26,111%,502632
2.26,112%,502728
2.23,111%,502888
2.56,114%,505640
2.25,112%,502704
2.41,111%,502468
2.45,111%,502540
2.25,112%,505760
2.31,112%,502572
2.25,112%,502728
2.26,112%,502628
2.22,112%,505596
2.47,114%,502888
2.27,112%,502592
2.25,112%,502776
2.27,112%,505656
2.44,112%,502900
2.56,114%,502636
2.24,112%,502644
2.26,112%,502608
2.25,112%,502632
2.24,112%,502524
2.24,112%,502696
2.25,112%,502784
2.39,113%,502796
2.26,112%,502556
2.22,112%,502700
2.21,111%,503008
2.39,113%,502704
2.24,111%,502592
2.25,111%,502692
2.24,112%,502772
2.22,111%,502488
2.28,112%,502552
2.28,112%,502656
2.24,112%,502744
2.55,114%,502856
2.47,114%,505800
2.23,112%,502508
2.23,112%,502476
2.57,114%,502676
2.24,111%,505788
2.52,114%,502648
2.33,111%,502784
2.22,111%,502592
2.57,114%,505716
2.23,111%,502832
2.57,115%,502812
2.25,112%,502612
2.30,113%,505684
2.24,112%,502692
2.26,111%,502720
2.28,112%,502624
2.25,112%,502772
2.42,113%,505784
2.25,112%,502556
2.34,112%,502756
2.25,112%,502784
2.23,111%,505680
2.24,112%,502772
2.21,112%,502892
2.25,112%,502800
2.24,112%,505508
2.25,112%,502892
2.31,112%,502716
2.23,112%,502812
