runtime,cpu_usage,memory
0.46,347%,3968
0.42,362%,3840
0.37,383%,3840
0.43,360%,4224
0.46,349%,3968
0.37,383%,3968
0.46,349%,3840
0.65,304%,4096
0.44,356%,3968
0.52,332%,3968
0.37,383%,3840
0.52,330%,3968
0.47,343%,4224
0.57,319%,3968
0.45,349%,3840
0.44,354%,3968
0.39,375%,3840
0.41,367%,3968
0.51,333%,4224
0.38,384%,3840
0.45,353%,4480
0.50,337%,3712
0.38,388%,4352
0.94,368%,4224
0.91,383%,3968
0.89,388%,4096
0.85,383%,4096
0.39,377%,3840
0.38,386%,4224
0.45,365%,3840
0.39,380%,4224
0.39,382%,4224
0.43,367%,3968
0.41,373%,4096
0.39,386%,4096
0.89,384%,3968
0.96,374%,4224
1.10,351%,4352
0.74,367%,4224
0.39,381%,3968
0.52,342%,3968
0.39,382%,4352
0.44,361%,3840
0.45,358%,4224
0.39,388%,4096
0.40,383%,3840
0.63,383%,4224
1.30,328%,4096
1.29,329%,4224
0.68,384%,4352
0.39,378%,3840
0.41,373%,3840
0.41,372%,4352
0.44,360%,4352
0.39,387%,3712
0.40,380%,4480
0.65,308%,4224
0.74,387%,4224
0.95,375%,3840
0.89,388%,4096
0.90,383%,4096
0.61,312%,3840
0.40,375%,4224
0.44,358%,4096
0.54,329%,3968
0.52,334%,4352
0.39,384%,4224
0.41,377%,4096
0.73,387%,4224
0.95,376%,3968
0.95,374%,4096
1.00,366%,4224
0.48,342%,3968
0.39,381%,4352
0.41,374%,3968
0.39,386%,3840
0.40,379%,4096
0.40,380%,4224
0.43,370%,3968
0.45,359%,3968
1.04,359%,3968
1.02,363%,4224
1.52,310%,4096
0.48,342%,4224
0.41,370%,4224
0.41,374%,4224
0.39,387%,4224
0.40,380%,4096
0.40,381%,4224
0.42,380%,3840
0.63,355%,4096
0.92,380%,4224
1.47,314%,3840
0.89,387%,3968
0.38,379%,3968
0.39,382%,4352
0.42,369%,4224
0.39,387%,3968
0.41,376%,4224
0.42,375%,3840
