hora,estado,potencia_W,kWh_intervalo,kWh_acumulado
2026-07-02 19:49:42,ON,11.802,0.000983,0.000983
2026-07-02 19:51:38,ON,11.753,0.000979,0.000979
2026-07-02 19:55:31,ON,11.893,0.000991,0.000991
2026-07-02 19:56:08,ON,11.928,0.000994,0.000994
2026-07-02 20:46:09,ON,11.757,0.00098,0.00098
2026-07-02 20:51:09,ON,61.478,0.005123,0.006103
2026-07-02 20:56:13,ON,78.16,0.006513,0.012616
2026-07-02 21:01:14,ON,69.995,0.005833,0.018449
2026-07-02 21:06:14,ON,52.601,0.004383,0.022833
2026-07-02 21:11:14,ON,44.833,0.003736,0.026569
2026-07-02 21:16:15,ON,65.087,0.005424,0.031993
2026-07-02 21:21:15,ON,29.852,0.002488,0.03448
2026-07-02 21:26:15,ON,32.633,0.002719,0.0372
2026-07-02 21:31:16,ON,32.901,0.002742,0.039941
2026-07-02 21:36:16,ON,70.486,0.005874,0.045815
2026-07-02 21:41:16,ON,63.265,0.005272,0.051087
2026-07-02 21:46:17,ON,25.795,0.00215,0.053237
