runtime,cpu_usage,memory
7.09,783%,40760
7.19,789%,40564
10.19,783%,41840
10.55,790%,40288
9.35,788%,40256
9.57,790%,40368
9.55,788%,40184
10.02,790%,40564
9.50,786%,40436
9.41,786%,40200
9.43,787%,40736
9.45,785%,40536
9.44,788%,40068
9.41,786%,42132
9.69,785%,40248
9.46,785%,40180
9.44,786%,40428
9.48,785%,41756
9.42,787%,40200
9.46,786%,40480
9.42,784%,40584
9.41,786%,40380
9.41,786%,40532
9.32,786%,40480
9.32,787%,39840
9.45,786%,40404
9.49,786%,40476
9.36,788%,40204
9.46,785%,40288
9.40,787%,41808
9.38,789%,39808
9.43,787%,40544
9.43,785%,40720
9.43,784%,40312
9.47,786%,40328
9.42,787%,41876
9.46,787%,40280
9.50,787%,40624
9.43,784%,39984
9.43,789%,40256
9.45,786%,40132
9.45,787%,40120
9.44,786%,40624
9.49,786%,40512
10.04,786%,40836
9.44,787%,40816
9.69,784%,40340
9.44,786%,40132
9.41,787%,40680
9.51,783%,40496
9.62,787%,40028
9.39,788%,40384
9.46,786%,40000
9.46,785%,40400
9.63,788%,40128
9.44,786%,40452
9.43,788%,41872
9.87,787%,39136
9.45,787%,40404
9.47,786%,40520
9.48,786%,40800
9.47,784%,40220
9.48,786%,40472
9.44,787%,40460
9.45,788%,40556
9.44,788%,40620
9.45,789%,40528
9.47,787%,39728
9.48,787%,40136
9.42,785%,39868
9.45,785%,40004
9.42,786%,40084
9.45,788%,40280
9.48,786%,40296
9.52,784%,40120
9.45,787%,40064
9.53,783%,40340
9.44,787%,40704
9.43,787%,40284
9.45,787%,40768
9.46,785%,40424
9.66,784%,41980
9.42,788%,40384
9.46,784%,40316
9.45,787%,40208
9.47,786%,40432
9.41,790%,40556
9.47,785%,40560
9.46,786%,40276
9.44,785%,41776
9.48,784%,40340
9.41,787%,40152
9.42,786%,40612
9.49,784%,40216
9.33,788%,40456
9.68,785%,39796
9.40,788%,40480
9.44,786%,42152
9.70,786%,40592
9.43,787%,40056
