runtime,cpu_usage,memory
0.96,369%,47012
0.95,375%,46688
0.94,367%,46820
0.95,374%,47084
0.96,375%,47136
0.94,382%,46748
0.96,376%,47052
0.96,372%,46836
0.96,370%,47084
0.97,371%,46672
0.97,370%,46908
0.97,374%,46860
0.97,375%,46980
0.94,375%,46468
0.96,370%,46884
0.96,372%,47204
0.96,369%,46108
0.96,379%,46516
0.96,375%,46888
0.98,374%,47180
0.96,376%,46524
0.97,382%,46940
0.96,379%,46784
1.27,368%,46832
2.16,384%,46992
1.48,391%,46864
0.94,367%,46632
0.96,376%,47172
0.96,377%,46740
0.96,377%,46756
0.96,377%,46860
0.95,377%,46684
0.95,377%,46764
2.01,372%,47140
2.04,382%,47096
0.95,379%,46948
0.95,378%,46932
0.96,369%,46816
0.96,375%,46728
1.48,382%,46460
2.15,382%,46632
1.37,387%,46900
0.94,385%,46700
0.96,368%,46776
0.94,371%,46420
0.96,372%,46924
1.06,372%,46956
1.06,375%,46728
1.05,382%,46788
1.05,381%,47008
1.06,377%,46528
1.07,375%,46864
1.06,369%,46916
1.06,373%,46628
1.06,379%,47164
1.05,380%,47008
1.05,376%,46932
1.05,379%,46936
1.06,370%,46836
1.05,380%,46136
1.05,379%,46564
1.06,375%,47060
1.04,378%,46788
1.05,380%,46780
1.05,375%,46600
1.06,376%,46736
1.04,386%,46540
1.04,388%,47292
1.05,379%,46964
1.05,382%,46636
1.06,375%,46392
1.04,389%,46904
1.04,382%,46788
1.05,373%,46920
1.06,382%,46976
1.05,372%,46892
1.05,383%,46640
1.06,375%,46752
1.05,378%,46972
1.05,375%,46808
1.06,375%,46632
1.06,375%,47080
1.05,376%,46828
1.05,376%,46788
1.05,377%,47044
1.04,379%,45840
1.05,375%,46636
1.04,384%,46768
1.05,383%,46352
1.06,375%,46844
1.05,370%,45868
1.05,376%,46772
1.04,376%,46600
1.05,372%,46824
1.06,377%,46776
1.05,380%,46668
1.05,374%,46652
1.06,376%,46908
1.05,382%,46656
1.06,378%,46816
