runtime,cpu_usage,memory
3.40,634%,369020
3.46,638%,372164
3.44,630%,368940
3.52,640%,369844
5.68,703%,368448
4.17,632%,368856
5.06,556%,369604
5.75,698%,368316
3.55,630%,368636
5.83,703%,368180
3.59,639%,370496
5.80,665%,368928
4.66,656%,373076
4.60,531%,370692
4.47,656%,370468
4.52,651%,372880
4.45,652%,373388
4.44,652%,370776
4.42,656%,370472
4.46,656%,373520
4.40,656%,371244
4.40,655%,370192
4.41,659%,373224
4.45,662%,370812
4.46,652%,370516
4.48,647%,370904
4.43,654%,371148
4.47,650%,374308
4.53,650%,370700
4.39,655%,370936
4.41,657%,370668
4.36,652%,370952
4.51,652%,370352
4.43,658%,370436
4.46,652%,370652
4.38,656%,370724
4.35,661%,370908
4.53,644%,370092
4.46,655%,370364
4.48,644%,373096
4.44,655%,369248
4.40,656%,370760
4.46,655%,370456
4.40,653%,370612
4.49,654%,370624
4.39,657%,370200
4.40,656%,369844
4.42,654%,370260
4.48,653%,370904
4.38,660%,370416
4.52,647%,370464
4.48,656%,370636
4.41,661%,370504
4.46,651%,371208
4.44,657%,372620
4.42,658%,370536
4.47,655%,370984
4.39,660%,374328
4.45,654%,370576
4.40,654%,370272
4.42,659%,373052
4.50,651%,371488
4.38,655%,371112
4.39,658%,370956
4.44,651%,370960
4.39,658%,373480
4.47,656%,369872
4.46,650%,370192
4.43,659%,370512
4.43,659%,370292
4.21,646%,370320
4.40,654%,370720
4.45,653%,373352
4.40,657%,369964
4.42,653%,371500
4.45,659%,370260
4.42,652%,370080
4.40,653%,370544
4.38,659%,371100
4.39,656%,370876
4.50,651%,370620
4.38,658%,370648
4.53,651%,370472
4.42,654%,371128
4.41,656%,371232
4.40,654%,370452
4.41,654%,370712
4.49,651%,371240
4.41,655%,370424
4.40,655%,370764
4.42,650%,371124
4.46,654%,370976
4.42,656%,370704
4.43,654%,370692
4.42,654%,371212
4.45,656%,370948
4.37,657%,370552
4.39,656%,370712
4.46,656%,370492
4.19,648%,370824
