runtime,cpu_usage,memory
2.08,782%,87260
2.09,782%,87180
2.18,783%,87552
2.14,783%,87376
4.40,787%,86708
2.22,783%,86780
2.84,781%,87492
3.64,780%,87012
2.19,783%,86884
4.18,786%,86780
2.40,769%,86672
2.72,780%,86612
3.86,784%,88092
2.19,782%,86756
4.30,787%,86728
2.35,773%,86504
2.71,780%,86744
2.84,779%,86448
2.90,784%,86516
2.90,784%,87780
2.91,783%,89052
2.90,784%,87276
2.88,784%,87024
2.87,784%,86604
2.78,784%,86732
2.89,784%,86492
2.90,784%,88168
2.81,783%,86888
2.91,780%,86492
2.79,782%,87008
2.79,784%,86628
2.79,783%,87120
2.88,785%,88440
2.90,785%,87904
2.89,784%,87396
2.79,783%,86620
2.87,784%,86436
2.89,784%,86780
2.81,779%,86520
2.85,785%,88320
2.79,783%,89600
2.89,784%,87680
2.89,784%,87356
2.90,783%,86764
2.80,784%,87912
2.89,784%,87100
2.93,783%,87624
2.89,784%,88440
2.93,778%,87224
2.79,784%,86868
2.89,784%,86744
2.89,784%,86772
2.89,785%,86328
2.78,784%,88012
2.91,784%,87872
2.79,784%,86884
2.88,784%,87648
2.83,783%,89068
2.89,785%,87040
2.79,784%,87028
2.89,784%,88996
2.87,784%,86468
2.89,785%,87688
2.81,784%,88288
2.79,784%,88036
2.88,784%,87892
2.78,784%,87644
2.82,784%,87776
2.79,784%,87664
2.79,783%,86644
2.79,782%,87424
2.79,784%,86756
2.86,783%,87156
2.80,781%,89120
2.89,784%,87020
2.89,784%,86656
2.90,783%,89112
2.79,784%,86520
2.79,784%,88576
2.79,784%,87760
2.88,784%,87136
2.79,783%,89192
2.80,784%,87260
2.89,784%,89192
2.80,784%,86400
2.90,784%,87904
2.90,784%,86768
2.89,784%,87936
2.80,784%,88064
2.78,783%,86904
2.88,784%,86400
2.78,784%,89180
2.88,784%,86648
2.79,784%,87168
2.89,784%,87808
2.79,784%,87288
2.89,784%,86852
2.90,784%,86864
2.80,784%,86872
2.80,780%,86992
