timestamp,total,psys,package,core,uncore,dram,cpu_temp
2023-10-09T00:12:37,50086542,48970273,49164913,45876164,10254,1116269,52000
2023-10-09T00:12:41,50070550,48953854,49079708,45832402,6164,1116696,58000
2023-10-09T00:12:45,48907894,47781127,47702698,44407235,6531,1126767,57000
2023-10-09T00:12:49,51236623,50128533,49961786,46723574,5555,1108090,60000
2023-10-09T00:12:53,50059320,48928647,48704465,45389471,6287,1130673,58000
2023-10-09T00:12:57,49164913,48035460,47675415,44378366,5676,1129453,59000
2023-10-09T00:13:01,49555843,48428160,47681946,44316720,5981,1127683,67000
2023-10-09T00:13:05,50271784,49126950,48437620,45069953,19409,1144834,59000
2023-10-09T00:13:09,49726374,48601316,47893493,44528206,7569,1125058,60000
2023-10-09T00:13:13,50655692,49522761,48402220,45017646,5616,1132931,59000
2023-10-09T00:13:17,50895744,49763362,48263853,44906929,6531,1132382,62000
2023-10-09T00:13:21,50591972,49469111,47703186,44317452,5859,1122861,66000
2023-10-09T00:13:25,51283742,50154107,48256957,44878547,5981,1129635,59000
2023-10-09T00:13:29,50790885,49663081,47884032,44506051,7446,1127804,62000
2023-10-09T00:13:33,51153617,50020685,48072447,44685127,5798,1132932,61000
2023-10-09T00:13:36,51328971,50198358,48059203,44659676,5432,1130613,61000
2023-10-09T00:13:40,50619438,49499873,47215456,43843699,5676,1119565,61000
2023-10-09T00:13:44,50970207,49841731,47847534,44487923,5920,1128476,63000
2023-10-09T00:13:48,50786002,49661188,47555298,44188730,6531,1124814,66000
2023-10-09T00:13:52,50462090,49337337,47169496,43820506,5676,1124753,58000
2023-10-09T00:13:56,50705803,49581111,47677246,44271188,16235,1124692,63000
2023-10-09T00:14:00,50937370,49808527,47572999,44221017,5920,1128843,61000
2023-10-09T00:14:04,51695425,50549004,48592527,45198066,16784,1146421,62000
2023-10-09T00:14:08,51223868,50090753,47848633,44478585,10010,1133115,59000
2023-10-09T00:14:12,51111747,49978937,47486390,44104074,6836,1132810,61000
2023-10-09T00:14:16,50780754,49661128,47525452,44204904,7447,1119626,62000
2023-10-09T00:14:20,51427969,50295769,48022582,44625374,5859,1132200,61000
2023-10-09T00:14:24,50989494,49862971,47397278,44038523,7690,1126523,59000
2023-10-09T00:14:28,50906059,49779048,47215944,43819224,6714,1127011,61000
2023-10-09T00:14:32,50813102,49690852,47434387,44110178,6530,1122250,63000
2023-10-09T00:14:36,50527702,49404842,47004946,43601268,7324,1122860,62000
2023-10-09T00:14:40,50804496,49681269,47374634,43999399,6592,1123227,62000
2023-10-09T00:14:43,51002554,49875909,47613160,44270395,6592,1126645,61000
2023-10-09T00:14:47,50945975,49820368,47489380,44139902,5676,1125607,63000
2023-10-09T00:14:51,51449452,50316521,48104186,44743477,6714,1132931,62000
2023-10-09T00:14:55,51081596,49954279,47499451,44119150,7874,1127317,65000
2023-10-09T00:14:59,51027458,49901606,47700561,44331796,5554,1125852,62000
2023-10-09T00:15:03,51666372,50520012,47999633,44589608,17151,1146360,61000
2023-10-09T00:15:07,50907219,49777949,47076540,43678477,8057,1129270,60000
2023-10-09T00:15:11,51050040,49923822,47301027,43946909,5798,1126218,63000
2023-10-09T00:15:15,51123281,49997369,47458313,44054880,7507,1125912,68000
2023-10-09T00:15:19,51325308,50195245,47845276,44468941,7630,1130063,61000
2023-10-09T00:15:23,51054435,49925653,47184083,43808482,5615,1128782,65000
2023-10-09T00:15:27,50904350,49779658,47263612,43859751,6225,1124692,69000
2023-10-09T00:15:31,50990776,49866267,47224183,43861337,5554,1124509,67000
2023-10-09T00:15:35,51145377,50011957,47550110,44135629,5921,1133420,63000
2023-10-09T00:15:39,51228995,50105890,47756225,44367318,7019,1123105,64000
2023-10-09T00:15:43,51255850,50125299,47502014,44137643,7508,1130551,62000
2023-10-09T00:15:47,50908743,49786188,47551026,44212228,9705,1122555,60000
2023-10-09T00:15:51,51661550,50530022,48346678,44932258,6409,1131528,65000
2023-10-09T00:15:55,50941093,49816584,47627442,44230173,5859,1124509,60000
2023-10-09T00:15:59,51400565,50266595,47944213,44546944,7507,1133970,67000
2023-10-09T00:16:02,51395621,50255426,48066528,44687385,20141,1140195,63000
2023-10-09T00:16:06,51389518,50253839,47972961,44557687,10070,1135679,62000
2023-10-09T00:16:10,51436453,50302850,48004760,44614571,7019,1133603,62000
2023-10-09T00:16:14,51555167,50424188,48134643,44737129,5310,1130979,63000
2023-10-09T00:16:18,51122855,49997553,47661865,44315195,6592,1125302,64000
2023-10-09T00:16:22,51424490,50296319,47883788,44481820,6958,1128171,62000
2023-10-09T00:16:26,51316031,50184015,47448609,44072092,6469,1132016,62000
2023-10-09T00:16:30,50856621,49733210,47048403,43684519,7569,1123411,60000
2023-10-09T00:16:34,51606314,50476922,48053527,44668159,7141,1129392,62000
2023-10-09T00:16:38,51090139,49964166,47360108,43985849,5799,1125973,66000
2023-10-09T00:16:42,51461721,50330559,48014038,44621528,6469,1131162,63000
2023-10-09T00:16:46,50953606,49827876,47173219,43795115,14893,1125730,61000
2023-10-09T00:16:50,51159109,50029962,47169130,43785349,6165,1129147,63000
2023-10-09T00:16:54,51205802,50079950,47288819,43898508,5798,1125852,67000
2023-10-09T00:16:58,51414601,50285637,47476441,44088572,6225,1128964,67000
2023-10-09T00:17:02,51248220,50108636,47215821,43845164,17517,1139584,62000
2023-10-09T00:17:06,51388785,50251947,47322511,43911387,14587,1136838,64000
2023-10-09T00:17:10,51487296,50363763,47762268,44382577,6408,1123533,64000
2023-10-09T00:17:14,51553518,50420281,47888428,44492561,6775,1133237,62000
2023-10-09T00:17:18,51572073,50442803,47932922,44530953,5615,1129270,63000
2023-10-09T00:17:21,51173697,50043695,47279481,43898325,5249,1130002,62000
2023-10-09T00:17:25,51793447,50660088,48232421,44825630,6531,1133359,65000
2023-10-09T00:17:29,51607107,50480217,48008667,44615914,7141,1126890,62000
2023-10-09T00:17:33,51423270,50294305,47274355,43884287,6592,1128965,63000
2023-10-09T00:17:37,51844473,50711602,48267027,44866279,5798,1132871,65000
2023-10-09T00:17:41,51777394,50648979,48200865,44788521,19287,1128415,63000
2023-10-09T00:17:45,51213615,50084467,47720825,44328805,10254,1129148,66000
2023-10-09T00:17:49,51163749,50039362,47747498,44348947,15564,1124387,62000
2023-10-09T00:17:53,51039603,49917109,47725586,44381906,5615,1122494,61000
2023-10-09T00:17:57,51172477,50046381,47796814,44442452,8850,1126096,64000
2023-10-09T00:18:01,51272391,50144892,47590027,44213326,7446,1127499,66000
