runtime,cpu_usage,memory
9.65,788%,119568
9.70,787%,119716
9.80,788%,119600
9.74,789%,119352
9.93,788%,119924
9.72,785%,120016
9.83,788%,120108
9.83,787%,119876
9.80,788%,119892
9.72,785%,119916
9.86,787%,119832
9.71,788%,119912
9.83,787%,119212
9.87,788%,119996
9.82,787%,119572
9.69,788%,119792
9.89,786%,119324
10.17,787%,119720
9.84,787%,119900
9.91,788%,119436
9.94,788%,119520
9.78,787%,119616
9.69,787%,119724
10.02,788%,119544
9.84,788%,119680
9.83,786%,119712
9.81,786%,119756
10.28,789%,119508
9.89,787%,119900
9.80,788%,119752
9.92,788%,119884
9.78,787%,120120
10.09,786%,119240
9.82,788%,119696
9.70,786%,119316
10.07,787%,119580
9.98,788%,119980
9.92,788%,119416
9.81,787%,119508
9.86,786%,117072
9.88,788%,119952
10.20,787%,119776
9.89,786%,119552
9.71,786%,119528
9.83,786%,120000
9.77,788%,119644
10.11,788%,119660
10.02,789%,119436
9.75,787%,120208
9.86,787%,119496
10.06,789%,119360
9.89,787%,119348
9.85,787%,119288
9.92,789%,119376
9.86,786%,120108
9.88,787%,119836
9.95,788%,119484
9.84,787%,119548
10.08,787%,119608
9.69,786%,119680
9.74,788%,119836
9.97,786%,119864
9.99,787%,119804
10.05,788%,119588
10.48,786%,119416
9.97,788%,119312
9.75,788%,119568
9.95,788%,119624
10.02,788%,119720
9.97,785%,119880
10.22,788%,119576
9.76,788%,119456
9.81,787%,119584
9.86,788%,119900
9.91,787%,119924
9.68,787%,119844
9.92,787%,119804
9.93,789%,119712
9.87,787%,119372
9.69,786%,119812
9.93,788%,119360
9.94,788%,119736
9.91,789%,119356
9.95,788%,119680
9.87,789%,119560
9.93,789%,119496
10.36,788%,119104
10.20,788%,119356
9.94,787%,119548
9.87,788%,119464
9.71,786%,120156
9.79,787%,119772
9.67,786%,120116
9.97,787%,119332
9.72,788%,119468
9.91,789%,119924
9.77,787%,119916
9.90,786%,119704
9.73,787%,119544
9.85,787%,119368
