runtime,cpu_usage,memory
25.69,100%,65848
25.63,100%,66052
26.16,100%,66104
25.74,100%,65784
25.06,100%,66248
26.33,100%,65840
26.24,100%,66020
26.64,100%,65784
25.71,100%,65780
25.95,100%,65856
25.70,100%,65864
26.64,100%,66028
25.59,100%,66028
25.36,100%,65932
26.47,100%,65792
26.10,100%,66116
25.97,100%,65872
26.17,100%,66108
25.11,100%,65900
25.96,100%,66004
25.23,100%,66028
25.67,100%,65836
26.13,100%,65988
26.55,100%,65992
25.18,100%,65916
26.16,100%,66104
26.02,100%,65892
26.35,100%,65744
25.92,100%,65908
26.22,100%,66192
25.85,100%,65920
25.35,100%,66116
25.68,100%,65988
26.03,100%,65984
26.04,100%,65948
25.95,100%,65764
25.69,100%,66148
25.38,100%,66040
26.25,100%,65924
25.38,100%,65868
26.27,100%,65844
26.16,100%,65672
26.42,100%,65860
25.34,100%,65808
25.69,100%,66000
25.73,100%,65996
25.32,100%,66164
26.80,100%,66148
25.39,100%,65884
26.06,100%,65520
27.10,100%,66164
25.76,100%,65692
25.54,100%,65840
25.88,100%,65844
25.92,100%,66036
25.64,100%,65972
24.99,100%,65976
25.56,100%,65900
25.44,100%,65840
26.11,100%,65860
25.96,100%,65864
25.66,100%,65732
26.06,100%,65892
25.42,100%,65804
25.87,100%,65788
26.35,100%,66000
25.48,100%,65996
25.90,100%,65860
26.02,100%,65848
26.57,100%,65988
26.68,100%,66112
25.58,100%,65944
26.08,100%,65996
25.57,100%,66280
25.65,100%,65880
26.50,100%,66144
24.98,100%,65908
25.78,100%,65928
26.05,100%,65856
26.53,100%,66068
25.96,100%,66000
26.34,100%,65988
26.65,100%,65860
26.00,100%,66080
26.53,100%,66056
26.24,100%,65928
25.80,100%,66268
26.17,100%,65588
25.72,100%,65896
26.36,100%,66116
26.69,100%,66068
25.69,100%,65940
26.12,100%,65800
26.14,100%,66232
26.00,100%,65508
26.49,100%,65932
25.99,100%,66004
25.95,100%,65796
25.21,100%,65748
25.65,100%,66116
