runtime,cpu_usage,memory
12.00,287%,414360
12.02,288%,415472
12.04,287%,415756
12.10,286%,416120
12.08,290%,413888
12.07,287%,416552
12.12,289%,412888
12.12,289%,415304
12.15,289%,415004
12.15,288%,416332
12.11,286%,414116
12.09,288%,414936
12.06,289%,414024
12.05,287%,415648
12.14,288%,415728
12.23,291%,415004
12.11,287%,413480
12.12,286%,415348
12.13,288%,413200
12.12,287%,413556
12.08,286%,414116
12.22,289%,414456
12.16,290%,413124
12.11,286%,413880
12.18,287%,414948
12.11,288%,413888
12.13,285%,414672
12.10,286%,415964
12.08,289%,414736
12.13,287%,414040
12.11,286%,414452
12.13,288%,415352
12.19,286%,414064
12.12,287%,413968
12.08,290%,414504
12.11,288%,413328
12.12,288%,413708
12.23,290%,415996
12.11,289%,414216
12.14,287%,415272
12.16,289%,414376
12.12,288%,415676
12.13,289%,413008
12.18,288%,415224
12.12,288%,414696
12.11,288%,413640
12.13,288%,413264
12.20,288%,414916
12.13,286%,413716
12.08,289%,413072
12.12,290%,413440
12.10,288%,413952
12.13,288%,413944
12.14,288%,415888
12.07,291%,414460
12.11,289%,414300
12.13,286%,415168
12.19,286%,415564
12.10,286%,413676
12.14,289%,413992
12.13,289%,415144
12.06,288%,413952
12.07,285%,414560
12.10,286%,414804
12.10,287%,413972
12.08,289%,414252
12.12,286%,415052
12.10,290%,414548
12.13,286%,414616
12.18,286%,414124
12.09,287%,416276
12.08,286%,414144
12.13,287%,413504
12.11,286%,413724
12.16,288%,415752
12.15,288%,414892
12.13,287%,415276
12.17,288%,413132
12.12,288%,413664
12.07,287%,413348
12.15,289%,414700
12.06,288%,412956
12.16,287%,415072
12.12,287%,415756
12.11,288%,415772
12.08,289%,413800
12.11,288%,413744
12.08,286%,414176
12.12,288%,413680
12.08,285%,413596
12.12,287%,415052
12.12,287%,413628
12.12,289%,414008
12.13,286%,414952
12.13,291%,414368
12.17,288%,413256
12.11,287%,415104
12.12,288%,414200
12.14,286%,414336
12.17,289%,414068
