runtime,cpu_usage,memory
5.36,100%,50188
5.10,100%,49792
5.14,100%,49920
5.46,100%,49980
5.24,100%,49840
6.71,100%,50040
6.03,100%,49952
7.55,100%,49788
7.37,100%,49820
5.26,100%,49964
5.29,100%,49800
7.24,100%,49928
6.47,100%,49840
6.06,100%,50044
7.55,100%,49968
7.60,100%,50060
5.10,100%,49936
7.23,100%,49904
5.48,100%,49908
6.64,100%,49824
6.20,100%,50044
6.89,100%,50212
5.70,100%,49944
5.15,100%,50044
6.94,100%,49916
6.92,100%,50060
6.21,100%,49940
5.96,100%,49920
6.58,100%,50044
5.15,100%,49936
7.86,100%,49916
5.09,100%,50060
5.17,100%,49972
6.58,100%,49944
5.97,100%,49916
5.18,100%,49940
7.54,100%,49944
5.23,100%,50064
7.54,100%,49948
5.12,100%,50044
7.55,100%,50076
7.77,100%,49916
5.15,100%,49920
5.10,100%,49928
5.10,100%,50032
6.31,100%,49936
6.81,100%,49916
7.02,100%,49960
7.55,100%,49932
5.22,100%,49932
7.15,100%,50036
5.47,100%,49832
5.13,100%,49968
7.41,100%,49836
6.67,100%,50056
6.77,100%,49788
6.66,100%,50056
5.12,100%,49916
5.97,100%,49792
6.69,100%,50084
5.28,100%,49792
7.65,100%,49956
7.54,100%,49960
6.67,100%,49928
5.85,100%,49824
5.10,100%,50036
6.51,100%,49932
6.81,100%,50056
7.06,100%,49824
7.13,100%,50064
6.62,100%,49932
5.91,100%,49952
5.32,100%,49920
7.50,100%,50044
6.34,100%,49936
6.24,100%,50064
5.91,100%,49940
6.67,100%,49932
7.47,100%,49940
5.31,100%,49952
5.73,100%,49916
6.80,100%,50064
5.14,100%,49788
7.66,100%,49908
7.22,100%,49812
5.43,100%,49944
6.82,100%,49828
6.84,100%,49820
6.36,100%,50040
5.79,100%,50212
6.81,100%,49780
7.37,100%,49936
6.68,100%,49808
6.78,100%,50092
6.63,100%,49952
7.10,100%,49816
5.43,100%,50068
7.02,100%,50068
5.63,100%,49936
6.73,100%,49788
