runtime,cpu_usage,memory
0.82,100%,52992
0.82,100%,53120
0.82,100%,53052
0.82,100%,52992
0.81,100%,52992
0.81,100%,52864
0.81,100%,52736
0.81,100%,53120
0.82,100%,52864
0.81,100%,52736
0.83,100%,52608
0.82,100%,52608
0.81,100%,52992
0.82,100%,53120
0.81,100%,52840
0.83,100%,52992
0.81,100%,52864
0.81,100%,52864
0.81,100%,53120
0.81,100%,52992
0.84,100%,52864
0.81,100%,52992
0.81,100%,53080
0.81,100%,52864
0.81,100%,52808
0.81,100%,52992
0.81,100%,53120
0.84,100%,52992
0.81,100%,52992
1.05,100%,52864
2.12,100%,52864
1.54,100%,53120
0.83,100%,52992
0.83,100%,53248
0.82,100%,52992
0.83,100%,52992
0.81,100%,53120
2.06,100%,52736
1.92,100%,52992
0.81,100%,52864
0.81,100%,52864
0.81,100%,53120
0.81,100%,53120
0.81,100%,52992
0.82,100%,52864
0.81,100%,53248
0.81,100%,53120
0.81,100%,53120
0.82,100%,52676
0.81,100%,52992
0.81,100%,53120
0.81,100%,53120
0.82,100%,53120
0.83,100%,52992
0.81,100%,52980
1.35,100%,52864
2.09,100%,53248
1.24,101%,52992
0.82,100%,53120
0.82,100%,53248
0.81,100%,52992
0.82,100%,52864
0.81,100%,53120
0.81,100%,52736
0.81,100%,52864
0.82,100%,53100
0.81,101%,52992
0.83,100%,52736
0.82,100%,52692
0.82,100%,52736
1.19,100%,52608
2.11,100%,52992
1.39,101%,52864
0.82,100%,52864
0.83,100%,52992
0.82,100%,52864
0.82,100%,53248
0.81,100%,52992
0.81,100%,53120
0.81,100%,53248
0.81,100%,53248
0.81,100%,52832
0.81,100%,52964
0.81,100%,52992
0.81,100%,52864
0.81,100%,52992
0.84,100%,53120
2.09,100%,53120
1.76,100%,52724
0.82,100%,52864
0.81,100%,52992
0.82,100%,52992
0.81,100%,53120
0.81,100%,53248
0.82,100%,52992
0.81,100%,53120
0.82,100%,53120
0.81,100%,52736
1.10,100%,52992
2.08,100%,52864
