runtime,cpu_usage,memory
3.91,123%,1168792
3.86,124%,1168788
3.88,123%,1169024
3.87,123%,1168568
3.87,124%,1168748
3.87,124%,1168884
3.88,123%,1168892
3.87,123%,1168792
3.86,123%,1168528
3.86,123%,1168888
3.87,124%,1168852
3.88,123%,1168588
3.88,124%,1168800
3.86,124%,1168724
3.88,124%,1168892
3.86,124%,1168896
3.89,123%,1168708
3.86,124%,1168856
3.88,123%,1168812
3.88,124%,1168644
3.86,125%,1114624
3.88,123%,1168752
3.87,123%,1168844
3.87,124%,1168948
3.87,123%,1168768
3.88,123%,1168824
3.87,124%,1168892
3.87,123%,1168572
3.90,123%,1168768
3.87,123%,1168596
3.88,123%,1168712
3.88,124%,1169028
3.87,124%,1168876
3.90,125%,1169284
3.86,123%,1168992
3.87,124%,1169096
3.86,123%,1168540
3.87,124%,1168996
3.88,123%,1168772
3.88,123%,1168748
3.88,124%,1169024
3.87,123%,1168768
3.88,123%,1168896
3.87,124%,1168900
3.88,123%,1168836
3.86,123%,1168668
3.87,123%,1168628
3.83,125%,1114744
3.88,124%,1168756
3.90,123%,1169008
3.88,124%,1168888
3.86,123%,1168760
3.89,123%,1168932
3.88,123%,1168896
3.83,125%,1113812
3.87,124%,1168980
3.86,123%,1168896
3.87,123%,1169112
3.87,123%,1168888
3.87,123%,1168828
3.76,123%,1169204
3.83,126%,1112636
3.90,123%,1168432
3.87,124%,1168916
3.87,123%,1168560
3.87,123%,1168468
3.87,123%,1168776
3.88,123%,1168796
3.91,125%,1169396
3.87,123%,1168840
3.86,123%,1168564
3.88,123%,1168928
3.87,123%,1168904
3.87,124%,1168796
3.88,123%,1168476
3.88,123%,1168752
3.87,123%,1168596
3.89,123%,1168648
3.87,123%,1168980
3.87,123%,1168768
3.86,124%,1169084
3.89,123%,1168764
3.88,122%,1168428
3.88,123%,1168808
3.91,123%,1168872
3.87,124%,1169064
3.88,123%,1168880
3.87,123%,1168704
3.87,123%,1168760
3.88,123%,1168944
3.90,123%,1168552
3.87,124%,1168916
3.86,123%,1168864
3.87,124%,1168776
3.89,123%,1168968
3.89,123%,1168708
3.89,123%,1168732
3.88,123%,1168816
3.88,122%,1168608
3.87,123%,1168860
