runtime,cpu_usage,memory
0.78,617%,136648
0.77,635%,137000
0.77,625%,136892
0.77,651%,136892
0.76,639%,137044
0.77,632%,137580
0.75,649%,137256
0.76,632%,137252
0.76,651%,136904
0.77,639%,136860
0.77,616%,137176
0.77,632%,136876
0.78,603%,136764
0.78,632%,136760
0.77,626%,137104
0.78,611%,137124
0.77,636%,137080
0.80,589%,136960
0.80,604%,137240
0.78,635%,137300
0.77,634%,137104
0.80,605%,137004
0.78,624%,137140
0.76,649%,137284
0.77,623%,137076
0.77,638%,136884
0.80,614%,136812
0.77,634%,136372
0.79,611%,136700
0.79,617%,136828
0.81,602%,137108
0.75,668%,136964
0.78,624%,137068
0.77,637%,136868
0.77,612%,137320
0.79,616%,137156
0.81,602%,137168
0.79,611%,136928
0.77,635%,136848
0.77,623%,137176
0.82,595%,137152
0.78,631%,137056
0.80,615%,136976
0.80,614%,137032
0.75,655%,136560
0.79,601%,136820
0.79,611%,136988
0.81,590%,137120
0.78,634%,137272
0.79,608%,136824
0.77,622%,137004
0.78,631%,137336
0.79,609%,136764
0.78,608%,136972
0.80,614%,137212
0.78,611%,136912
0.78,624%,137140
0.77,639%,136896
0.78,631%,136760
0.77,634%,136872
0.78,630%,136784
0.77,635%,137268
0.81,591%,137144
0.78,612%,136524
0.80,599%,137188
0.76,630%,136824
0.74,659%,137048
0.80,591%,137052
0.77,623%,136424
0.77,633%,137196
0.80,598%,137092
0.77,627%,137160
0.77,632%,137128
0.75,663%,137108
0.77,629%,137172
0.77,633%,137132
0.80,606%,137244
0.79,596%,137052
0.77,647%,137128
0.77,642%,137188
0.87,526%,136904
0.79,614%,137124
0.76,637%,136856
0.79,616%,137260
0.77,637%,137244
0.79,622%,137212
0.79,617%,137008
0.80,611%,137192
0.79,616%,137180
0.78,634%,136944
0.79,602%,137132
0.78,612%,137368
0.78,629%,137108
0.77,630%,136972
0.77,617%,137056
0.79,612%,136908
0.78,617%,137032
0.78,620%,136860
0.78,620%,137144
0.79,620%,137056
