hora,estado,potencia_W,kWh_intervalo,kWh_acumulado
2026-07-06 22:03:29,ON,11.561,0.000963,0.000963
2026-07-06 22:08:29,ON,29.791,0.002483,0.003446
2026-07-06 22:13:30,ON,30.637,0.002553,0.005999
2026-07-06 22:18:30,ON,29.984,0.002499,0.008498
2026-07-06 22:23:30,ON,30.05,0.002504,0.011002
2026-07-06 22:28:31,ON,30.063,0.002505,0.013507
2026-07-06 22:33:31,ON,29.961,0.002497,0.016004
2026-07-06 22:38:31,ON,30.094,0.002508,0.018512
2026-07-06 22:43:32,ON,29.955,0.002496,0.021008
2026-07-06 22:48:32,ON,30.174,0.002514,0.023522
2026-07-06 22:53:33,ON,30.174,0.002514,0.026037
2026-07-06 22:58:33,ON,30.464,0.002539,0.028576
2026-07-06 23:03:34,ON,30.166,0.002514,0.031089
2026-07-06 23:08:34,ON,30.066,0.002505,0.033595
2026-07-06 23:13:34,ON,33.235,0.00277,0.036365
2026-07-06 23:18:35,ON,34.466,0.002872,0.039237
2026-07-06 23:23:35,ON,33.307,0.002776,0.042012
2026-07-06 23:28:35,ON,32.44,0.002703,0.044716
2026-07-06 23:33:36,ON,34.902,0.002909,0.047624
2026-07-06 23:38:36,ON,33.728,0.002811,0.050435
2026-07-06 23:43:36,ON,32.311,0.002693,0.053127
2026-07-06 23:48:37,ON,31.677,0.00264,0.055767
