runtime,cpu_usage,memory
7.08,105%,424852
9.60,103%,425084
9.61,103%,425120
9.63,103%,425000
9.64,103%,425088
7.12,105%,424936
9.62,103%,424748
9.61,103%,424828
9.64,103%,425140
7.11,105%,425176
7.10,105%,424976
9.67,103%,424768
9.61,103%,425232
9.69,103%,425124
9.60,103%,425216
9.59,103%,424964
9.65,103%,425104
7.13,105%,425156
7.12,105%,425212
7.55,105%,425224
10.99,103%,424772
10.57,103%,425348
9.58,103%,424948
9.66,103%,425140
9.62,103%,424796
9.60,103%,425092
9.70,103%,424996
9.81,103%,425260
9.68,103%,425040
9.79,103%,424948
9.66,103%,425232
7.09,105%,425192
9.79,103%,425140
9.63,103%,425196
9.73,103%,425304
7.10,105%,424964
9.82,103%,425052
9.70,103%,424868
9.72,103%,425124
9.60,103%,425040
9.60,103%,424776
9.69,103%,425336
9.71,103%,424876
9.68,103%,425012
9.59,103%,425132
9.74,103%,425216
9.63,103%,425132
7.10,105%,425028
9.69,103%,424988
9.67,103%,424944
9.67,103%,424896
10.46,103%,424784
11.02,103%,424860
9.60,103%,424988
7.12,105%,425020
7.12,105%,424840
9.81,103%,425152
9.67,103%,424980
9.72,103%,425056
9.75,103%,425004
9.71,103%,425176
9.70,103%,424988
9.61,103%,425196
7.09,105%,424992
9.76,103%,425188
9.72,103%,425380
9.87,103%,425300
9.70,103%,425036
9.79,103%,425264
9.61,103%,424832
9.71,103%,425132
9.72,103%,424952
9.61,103%,425108
9.60,103%,424884
9.60,103%,425356
7.09,105%,425016
9.77,103%,424816
7.12,105%,424964
7.17,105%,424844
7.47,105%,425180
9.92,103%,425016
9.60,103%,425344
9.62,103%,424896
9.74,103%,424564
9.78,103%,425140
9.72,103%,424848
9.80,103%,425120
9.69,103%,424720
9.72,103%,425228
9.60,103%,425100
9.69,103%,424984
9.64,103%,425200
9.62,103%,425016
9.61,103%,425076
9.60,103%,425264
9.65,103%,424956
9.72,103%,425064
9.66,103%,424808
9.76,103%,425120
7.11,105%,425036
