runtime,cpu_usage,memory
0.76,149%,229248
0.75,150%,228864
0.76,149%,229084
0.77,149%,228992
0.76,149%,229248
0.77,149%,228992
0.76,149%,229120
0.76,149%,229188
0.76,149%,229248
0.77,148%,229204
0.77,149%,229120
0.76,149%,229120
0.76,149%,228932
0.76,149%,229120
0.76,149%,229120
0.76,149%,228992
0.77,149%,229120
0.77,149%,228988
0.77,149%,229248
0.77,149%,228864
0.78,148%,229120
0.76,149%,229248
0.77,149%,229120
0.77,149%,228992
0.76,149%,229120
0.76,149%,229120
0.76,149%,229248
0.76,149%,229120
0.76,149%,229248
0.77,149%,229484
0.77,148%,229376
0.77,149%,229248
0.77,149%,229248
0.77,149%,229224
0.76,149%,229248
0.76,149%,229120
0.77,149%,229120
0.78,148%,229120
0.76,149%,229248
0.77,149%,229376
0.76,149%,229344
0.77,149%,228992
1.88,120%,229248
1.81,121%,228992
0.77,149%,229120
0.77,149%,229248
0.78,148%,228992
0.78,148%,228992
0.78,148%,228992
0.76,149%,229248
0.98,138%,228992
1.89,120%,229376
1.63,123%,229120
0.76,149%,229120
0.77,149%,228864
0.77,149%,228992
0.77,149%,229120
0.76,149%,228992
0.77,149%,228864
0.76,149%,228736
0.77,149%,228992
0.80,147%,229248
0.80,147%,228992
0.80,147%,229120
0.80,147%,228992
0.80,147%,229120
0.77,149%,228992
0.78,148%,229376
0.81,146%,228992
0.80,147%,229120
1.89,120%,229376
1.86,120%,229376
0.76,149%,229248
0.76,149%,229120
0.76,149%,229248
0.76,149%,229108
0.77,149%,229376
0.76,149%,229204
0.77,149%,229076
0.77,149%,229120
0.76,149%,228992
0.77,149%,228864
0.78,148%,228992
0.77,149%,229248
0.79,147%,229248
0.80,147%,228992
1.90,119%,229120
1.76,121%,228992
0.76,149%,229248
0.77,149%,229248
0.76,149%,229376
0.77,149%,229120
0.76,149%,228992
0.78,148%,229120
0.77,149%,228992
0.77,149%,229120
0.76,149%,229120
0.78,148%,229248
0.77,149%,229076
0.77,149%,229120
