runtime,cpu_usage,memory
1.09,134%,1028032
1.05,135%,1028284
1.05,136%,1028376
1.05,136%,1028468
1.05,135%,1028616
1.05,136%,1028368
1.05,135%,1028392
1.06,135%,1028276
1.06,135%,1028392
1.06,135%,1028264
1.05,135%,1028616
1.05,135%,1028392
1.05,136%,1028524
1.05,136%,1028336
1.06,135%,1028616
1.05,135%,1028500
1.05,136%,1028464
1.05,136%,1028396
1.05,135%,1028324
1.06,135%,1028512
1.06,135%,1028520
1.06,135%,1028516
1.06,135%,1028388
1.05,136%,1028356
1.05,136%,1028312
1.05,136%,1028312
1.07,135%,1028464
1.06,135%,1028364
1.06,136%,1028476
1.04,136%,1028420
1.07,135%,1028388
1.07,135%,1028460
1.07,135%,1028652
1.06,135%,1028368
1.06,135%,1028396
1.08,135%,1028360
1.10,134%,1028500
1.09,134%,1028448
1.09,134%,1028248
1.08,135%,1028128
1.06,135%,1028732
1.07,135%,1028456
1.05,136%,1028396
1.09,134%,1028548
1.09,134%,1028544
1.10,134%,1028280
1.06,135%,1028308
1.09,134%,1028628
1.09,134%,1028168
1.09,134%,1028532
1.09,134%,1028364
1.05,135%,1028524
1.06,135%,1028584
1.06,135%,1028180
1.09,134%,1028384
1.09,134%,1028528
1.09,134%,1028516
1.07,135%,1028452
1.05,136%,1028508
1.07,135%,1028396
1.05,136%,1028584
1.10,134%,1028576
1.08,134%,1028400
1.10,134%,1028328
1.09,134%,1028360
1.09,134%,1028500
1.10,134%,1028256
1.09,134%,1028180
1.09,134%,1028448
1.09,134%,1028492
1.06,135%,1028592
1.06,135%,1028464
1.07,135%,1028464
1.05,135%,1028480
1.09,134%,1028360
1.07,135%,1028500
1.06,135%,1028460
1.05,136%,1028684
1.06,135%,1028268
1.06,135%,1028192
1.09,134%,1028412
1.10,134%,1028532
1.09,134%,1028320
1.04,136%,1028380
1.07,135%,1028288
1.10,134%,1028356
1.99,119%,1028396
2.40,115%,1028292
1.06,135%,1028612
1.07,135%,1028276
1.04,136%,1028468
1.06,135%,1028408
1.06,135%,1028404
1.07,135%,1028088
1.07,135%,1028524
1.09,134%,1028256
1.09,134%,1028380
1.09,134%,1028304
1.06,135%,1028440
1.06,135%,1028396
