runtime,cpu_usage,memory
1.23,130%,236032
1.23,130%,236032
1.23,130%,236160
1.21,131%,236416
1.23,130%,236160
1.23,130%,236288
1.23,130%,236288
1.23,130%,236288
1.23,130%,236160
1.23,131%,236032
1.23,130%,236032
1.23,130%,235904
1.23,130%,236160
1.23,130%,236032
1.23,130%,236416
1.23,130%,236032
1.23,130%,236032
1.23,130%,236160
1.23,130%,236032
1.23,130%,235648
1.23,130%,236160
1.23,130%,235776
1.23,130%,236288
2.96,112%,236160
1.80,121%,235904
1.23,130%,236032
1.23,130%,236032
1.23,130%,236288
1.23,130%,236160
1.23,130%,236288
1.23,130%,236288
1.23,130%,236160
1.23,130%,236160
1.23,130%,236288
1.23,130%,235904
1.23,130%,236032
1.23,130%,236032
1.23,130%,236160
1.23,130%,236416
1.23,130%,236032
1.23,130%,236032
1.23,130%,236160
1.23,130%,236160
1.23,130%,236288
1.26,130%,236032
1.26,130%,236288
1.26,130%,236288
1.24,130%,236160
1.23,130%,236288
1.26,130%,236288
1.24,130%,235904
1.23,130%,235904
1.26,129%,236160
1.24,130%,236416
1.23,130%,236416
1.26,130%,236032
1.25,130%,236288
1.23,130%,236160
1.26,129%,236544
1.25,130%,236032
1.23,130%,236288
1.23,130%,236288
1.23,130%,236032
1.23,130%,235904
1.23,130%,236160
1.23,130%,236160
1.23,130%,236288
1.26,130%,236160
1.26,130%,236032
1.23,130%,235904
1.26,130%,236288
1.26,130%,236544
1.26,129%,235904
1.26,129%,236032
1.26,130%,236416
1.23,130%,236416
1.23,130%,236160
1.23,130%,236032
1.23,130%,236032
1.23,130%,236160
1.23,130%,236416
1.23,130%,236416
1.23,130%,236160
1.23,130%,236416
1.23,130%,236032
1.26,130%,236032
1.26,130%,236160
1.23,130%,236416
1.23,130%,236416
1.23,130%,236416
1.26,130%,236160
1.26,129%,235776
1.26,130%,235904
1.23,130%,236288
1.23,130%,236544
1.26,129%,236416
1.23,130%,236160
1.23,130%,236032
1.23,130%,236288
1.26,130%,236416
