runtime,cpu_usage,memory
50.86,368%,1084032
47.78,373%,1084032
46.66,369%,1084032
46.72,374%,1083904
48.06,371%,1084032
47.43,372%,1084032
48.44,372%,1084032
48.92,371%,1084160
49.87,377%,1084160
48.37,367%,1084032
48.25,365%,1084032
47.24,369%,1083904
48.08,368%,1084032
46.97,374%,1084032
51.73,372%,1084032
46.55,372%,1083904
47.78,376%,1083904
50.78,372%,1084032
47.41,371%,1084032
47.82,367%,1083904
51.60,370%,1084160
46.75,371%,1083904
46.94,372%,1083904
47.81,367%,1084032
52.67,373%,1084032
52.54,373%,1083904
49.87,358%,1084032
48.27,367%,1084032
48.52,375%,1083904
47.27,372%,1084032
47.18,370%,1084032
50.28,374%,1084032
46.55,370%,1084160
47.45,370%,1084032
46.89,373%,1084032
46.71,369%,1084032
47.02,371%,1084032
46.97,371%,1084032
47.56,374%,1084160
51.17,374%,1083904
49.72,372%,1083904
47.84,369%,1084032
52.76,367%,1083904
52.86,357%,1084160
48.86,373%,1084032
48.82,373%,1083904
46.78,373%,1084032
45.95,373%,1083904
46.96,370%,1084032
47.65,365%,1083904
47.85,370%,1084032
50.95,373%,1084032
48.71,370%,1084032
47.62,370%,1084032
47.74,372%,1084032
46.21,371%,1084032
48.95,371%,1084032
51.45,371%,1083776
49.25,360%,1083904
48.68,372%,1083904
47.07,370%,1083904
47.03,370%,1084032
50.42,373%,1084032
48.00,375%,1084032
48.98,370%,1084032
47.95,369%,1084032
46.74,372%,1084032
46.57,374%,1084032
48.55,373%,1084160
47.28,369%,1084160
48.10,376%,1084032
47.14,371%,1084032
48.86,373%,1084032
48.85,372%,1084032
46.98,374%,1084032
47.66,369%,1084160
50.57,366%,1084032
46.89,372%,1084032
46.95,374%,1084032
47.70,369%,1084160
47.07,368%,1084032
47.71,367%,1084032
48.09,376%,1084032
46.80,374%,1083776
46.76,372%,1083904
47.09,373%,1083904
47.60,368%,1084160
47.76,370%,1084032
46.45,372%,1084032
48.42,373%,1084032
48.68,372%,1083904
46.70,375%,1084032
46.55,372%,1083904
50.74,361%,1083904
47.12,368%,1083904
48.18,375%,1083904
48.40,374%,1084032
46.72,371%,1084032
47.35,370%,1084032
48.98,372%,1084032
