hora,estado,potencia_W,kWh_intervalo,kWh_acumulado
2026-07-08 09:05:24,ON,11.67,0.000972,0.000972
2026-07-08 09:10:25,ON,35.639,0.00297,0.003942
2026-07-08 09:15:25,ON,81.606,0.0068,0.010743
2026-07-08 09:20:25,ON,49.923,0.00416,0.014903
2026-07-08 09:25:26,ON,39.911,0.003326,0.018229
2026-07-08 09:30:26,ON,79.666,0.006639,0.024868
2026-07-08 09:35:27,ON,38.165,0.00318,0.028048
2026-07-08 09:40:27,ON,37.85,0.003154,0.031203
2026-07-08 09:45:27,ON,79.358,0.006613,0.037816
2026-07-08 09:50:28,ON,55.649,0.004637,0.042453
2026-07-08 09:55:28,ON,38.352,0.003196,0.045649
2026-07-08 10:00:29,ON,79.443,0.00662,0.052269
2026-07-08 10:05:29,ON,58.417,0.004868,0.057137
2026-07-08 10:10:29,ON,36.943,0.003079,0.060216
2026-07-08 10:15:30,ON,79.727,0.006644,0.06686
2026-07-08 10:20:30,ON,45.714,0.003809,0.070669
2026-07-08 10:25:31,ON,32.844,0.002737,0.073406
2026-07-08 10:30:31,ON,32.715,0.002726,0.076133
2026-07-08 10:35:31,ON,32.847,0.002737,0.07887
2026-07-08 10:40:32,ON,32.557,0.002713,0.081583
2026-07-08 10:45:32,ON,32.491,0.002708,0.084291
2026-07-08 10:50:33,ON,32.657,0.002721,0.087012
2026-07-08 10:55:33,ON,32.616,0.002718,0.08973
2026-07-08 11:00:33,ON,32.529,0.002711,0.092441
2026-07-08 11:05:34,ON,32.658,0.002721,0.095162
2026-07-08 11:10:34,ON,32.816,0.002735,0.097897
2026-07-08 11:15:35,ON,33.027,0.002752,0.100649
2026-07-08 11:20:35,ON,32.805,0.002734,0.103383
2026-07-08 11:25:35,ON,33.13,0.002761,0.106144
2026-07-08 11:30:36,ON,32.532,0.002711,0.108855
2026-07-08 11:35:36,ON,33.012,0.002751,0.111606
2026-07-08 11:40:37,ON,32.977,0.002748,0.114354
2026-07-08 11:45:39,ON,32.956,0.002746,0.1171
2026-07-08 11:50:39,ON,33.109,0.002759,0.119859
2026-07-08 11:55:40,ON,32.875,0.00274,0.122599
2026-07-08 12:00:40,ON,32.63,0.002719,0.125318
2026-07-08 12:05:40,ON,32.739,0.002728,0.128046
2026-07-08 12:10:41,ON,32.676,0.002723,0.130769
2026-07-08 12:15:41,ON,32.734,0.002728,0.133497
2026-07-08 12:20:42,ON,32.82,0.002735,0.136232
2026-07-08 12:25:42,ON,32.738,0.002728,0.13896
2026-07-08 12:30:42,ON,32.854,0.002738,0.141698
2026-07-08 12:35:43,ON,32.751,0.002729,0.144427
2026-07-08 12:40:43,ON,32.886,0.00274,0.147168
2026-07-08 12:45:44,ON,32.907,0.002742,0.14991
2026-07-08 12:50:44,ON,33.094,0.002758,0.152668
2026-07-08 12:55:44,ON,32.803,0.002734,0.155401
2026-07-08 13:00:45,ON,32.563,0.002714,0.158115
2026-07-08 13:05:45,ON,32.784,0.002732,0.160847
2026-07-08 13:10:46,ON,32.902,0.002742,0.163589
2026-07-08 13:15:46,ON,32.763,0.00273,0.166319
2026-07-08 13:20:46,ON,32.784,0.002732,0.169051
2026-07-08 13:25:47,ON,32.975,0.002748,0.171799
2026-07-08 13:30:47,ON,32.878,0.00274,0.174539
2026-07-08 13:35:48,ON,32.918,0.002743,0.177282
2026-07-08 13:40:48,ON,32.799,0.002733,0.180015
2026-07-08 13:45:48,ON,32.975,0.002748,0.182763
2026-07-08 13:50:49,ON,32.947,0.002746,0.185509
2026-07-08 13:55:49,ON,33.027,0.002752,0.188261
2026-07-08 14:00:50,ON,33.058,0.002755,0.191016
2026-07-08 14:05:50,ON,33.165,0.002764,0.19378
2026-07-08 14:10:50,ON,32.943,0.002745,0.196525
2026-07-08 14:15:51,ON,33.182,0.002765,0.19929
2026-07-08 14:20:51,ON,33.208,0.002767,0.202057
2026-07-08 14:25:52,ON,32.846,0.002737,0.204795
2026-07-08 14:30:52,ON,32.787,0.002732,0.207527
2026-07-08 14:35:52,ON,33.011,0.002751,0.210278
2026-07-08 14:40:53,ON,33.064,0.002755,0.213033
2026-07-08 14:45:53,ON,32.842,0.002737,0.21577
2026-07-08 14:50:54,ON,32.879,0.00274,0.21851
2026-07-08 14:55:54,ON,32.821,0.002735,0.221245
2026-07-08 15:00:55,ON,32.832,0.002736,0.223981
2026-07-08 15:05:55,ON,33.037,0.002753,0.226734
