runtime,cpu_usage,memory
543.08,99%,2548
539.79,99%,2380
538.78,99%,2432
542.75,99%,2424
581.85,99%,2600
540.73,99%,2412
538.86,99%,2600
539.04,99%,2388
538.62,99%,2392
538.47,99%,2480
539.09,99%,2352
539.58,99%,2412
538.61,99%,2460
541.98,99%,2396
540.17,99%,2392
539.91,99%,2432
538.78,99%,2404
539.59,99%,2420
539.05,99%,2316
539.41,99%,2416
538.72,99%,2564
539.20,99%,2548
539.18,99%,2416
538.70,99%,2392
539.54,99%,2416
538.65,99%,2392
541.91,99%,2392
538.71,99%,2348
538.70,99%,2464
538.52,99%,2392
539.17,99%,2392
539.39,99%,2452
539.70,99%,2496
538.92,99%,2532
538.81,99%,2432
539.42,99%,2532
580.98,99%,2452
539.83,99%,2548
539.40,99%,2432
538.68,99%,2548
539.56,99%,2348
539.38,99%,2392
538.70,99%,2532
538.88,99%,2532
581.33,99%,2384
538.91,99%,2392
539.63,99%,2460
538.85,99%,2380
539.18,99%,2564
538.89,99%,2380
538.76,99%,2460
538.70,99%,2392
540.31,99%,2348
538.79,99%,2412
538.82,99%,2532
539.72,99%,2416
538.72,99%,2600
538.84,99%,2600
539.56,99%,2392
539.51,99%,2392
538.94,99%,2432
539.05,99%,2488
538.86,99%,2600
539.00,99%,2452
538.78,99%,2532
539.25,99%,2400
539.31,99%,2464
539.72,99%,2424
539.22,99%,2412
538.72,99%,2392
539.48,99%,2496
538.54,99%,2392
538.41,99%,2452
542.72,99%,2420
543.56,99%,2452
539.65,99%,2432
539.12,99%,2284
539.02,99%,2460
538.43,99%,2384
543.30,99%,2412
538.89,99%,2548
539.56,99%,2392
538.61,99%,2284
538.64,99%,2496
538.69,99%,2496
538.63,99%,2284
539.44,99%,2424
538.40,99%,2488
538.98,99%,2416
538.95,99%,2396
541.16,99%,2392
538.92,99%,2364
539.18,99%,2392
538.47,99%,2480
539.37,99%,2532
539.45,99%,2444
538.82,99%,2600
540.19,99%,2424
538.89,99%,2532
539.00,99%,2392
