runtime,cpu_usage,memory
77.12,100%,596664
82.14,100%,596716
103.45,100%,596712
97.45,100%,596700
81.93,100%,596752
85.84,100%,596908
86.48,100%,596752
99.95,100%,596780
86.32,100%,596776
89.09,100%,596840
101.13,100%,596712
101.89,100%,596624
99.69,99%,596560
102.71,99%,596712
101.19,100%,596720
85.51,100%,596656
104.00,99%,596712
87.65,100%,596712
89.75,100%,596904
99.79,100%,596776
99.62,100%,596748
99.31,99%,596652
99.32,100%,596708
100.71,100%,596776
100.51,100%,596620
86.43,100%,596844
103.59,100%,596712
99.40,100%,596776
84.09,100%,596840
76.15,100%,596776
88.89,100%,596548
102.49,99%,596776
101.10,99%,596776
103.24,100%,596712
103.04,100%,596776
99.91,100%,596840
100.45,100%,596904
99.72,100%,596836
102.62,99%,596564
101.51,100%,596764
102.77,99%,596752
99.02,100%,596760
100.39,100%,596844
102.82,100%,596776
99.76,100%,596780
97.24,100%,596688
103.32,99%,596744
102.44,100%,596776
101.25,99%,596908
85.45,100%,596780
89.50,100%,596772
99.54,100%,596776
103.81,100%,596840
84.34,100%,596760
103.31,100%,596752
86.93,100%,596712
89.26,100%,596704
89.01,100%,596836
99.59,99%,596776
99.80,99%,596776
101.76,100%,596708
87.16,100%,596776
100.06,100%,596712
102.52,100%,596776
99.33,100%,596560
99.28,100%,596776
101.11,100%,596708
101.35,100%,596580
99.97,100%,596776
105.25,100%,596840
99.79,100%,596644
100.58,100%,596840
89.09,100%,596716
99.57,100%,596752
99.94,100%,596780
103.24,100%,596756
100.69,100%,596904
103.55,100%,596908
101.25,100%,596908
98.09,100%,596688
99.38,99%,596776
100.24,100%,596752
99.25,100%,596684
99.75,100%,596840
100.58,100%,596776
101.38,100%,596840
99.45,99%,596624
98.65,100%,596908
99.52,100%,596836
99.70,100%,596560
102.08,99%,596752
100.69,99%,596904
99.56,100%,596840
101.33,100%,596560
102.21,99%,596900
88.58,100%,596904
98.97,100%,596840
99.53,100%,596752
103.06,99%,596644
101.02,100%,596780
