runtime,cpu_usage,memory
98.41,445%,282368
100.87,441%,282496
105.47,435%,282624
114.17,470%,282624
109.59,423%,282496
111.83,425%,282496
109.98,424%,282496
116.48,390%,282496
122.13,378%,282496
109.83,440%,282496
128.29,368%,282368
112.66,443%,282496
100.93,447%,282496
110.17,440%,282624
101.56,449%,282496
128.03,369%,282496
117.80,391%,282496
116.28,420%,282624
116.92,391%,282496
103.55,445%,282496
116.15,391%,282496
114.52,395%,282496
107.50,439%,282624
121.10,419%,282624
131.60,370%,282496
102.10,460%,282496
115.22,433%,282624
100.40,447%,282496
99.16,445%,282624
103.82,434%,282496
98.77,444%,282368
110.57,440%,282496
117.57,421%,282496
118.02,390%,282496
121.80,438%,282624
131.38,372%,282496
117.25,417%,282496
113.40,440%,282496
119.98,420%,282496
107.74,464%,282496
109.09,423%,282496
116.70,390%,282496
111.66,469%,282624
108.21,429%,282624
115.21,419%,282624
111.18,425%,282496
110.22,408%,282496
107.16,439%,282624
116.25,417%,282496
104.91,444%,282496
101.31,442%,282496
103.83,433%,282496
104.27,435%,282368
102.17,462%,282496
112.73,436%,282368
102.84,433%,282368
101.58,441%,282496
115.09,415%,282624
120.20,379%,282496
120.49,389%,282496
131.26,367%,282624
120.12,386%,282496
110.67,427%,282496
118.93,385%,282496
104.08,435%,282496
130.56,372%,282624
106.05,437%,282496
109.65,443%,282496
116.65,390%,282496
100.92,446%,282240
116.42,384%,282496
131.82,374%,282496
100.57,445%,282624
103.77,435%,282624
120.94,382%,282496
108.61,428%,282496
112.94,427%,282624
116.89,390%,282496
132.01,368%,282496
111.97,441%,282496
128.92,374%,282496
107.90,440%,282496
102.13,466%,282368
109.27,444%,282624
104.91,439%,282368
134.68,375%,282624
117.31,417%,282496
108.14,467%,282496
103.39,436%,282496
128.38,367%,282496
100.52,448%,282496
114.25,405%,282624
97.47,443%,282624
115.20,416%,282496
126.51,390%,282496
119.06,419%,282624
123.87,385%,282496
102.80,444%,282368
104.65,438%,282496
98.36,444%,282496
