runtime,cpu_usage,memory
39.28,100%,2931856
32.06,99%,2931728
39.80,100%,2932212
41.89,100%,2931988
39.41,100%,2932432
38.82,99%,2892704
39.03,100%,2932064
41.77,100%,2932248
41.89,100%,2932064
39.76,99%,2915236
39.22,99%,2932312
39.37,99%,2932064
31.92,100%,2932248
34.26,100%,2932192
40.12,100%,2932604
33.58,100%,2932604
41.52,99%,2932604
41.98,99%,2932252
41.95,100%,2932424
40.79,100%,2932236
42.50,99%,2932064
41.68,99%,2931968
42.51,100%,2904752
44.47,99%,2932208
41.94,100%,2932064
41.54,99%,2931952
43.23,100%,2931888
44.09,100%,2932816
36.99,99%,2931884
34.03,100%,2915276
42.81,99%,2892912
41.47,99%,2932192
41.22,100%,2932048
34.04,100%,2932376
41.55,100%,2932112
39.83,100%,2932208
43.65,99%,2891488
40.86,100%,2932020
41.48,100%,2932120
40.10,99%,2932200
40.83,99%,2931824
43.12,100%,2931776
40.01,100%,2931764
41.75,99%,2932484
39.34,100%,2915632
41.68,99%,2932084
39.11,100%,2932372
41.57,100%,2931868
39.59,100%,2932036
33.83,100%,2931696
41.62,100%,2932252
31.56,100%,2932168
42.94,100%,2932248
44.09,99%,2932432
41.06,99%,2908788
43.52,99%,2932008
37.38,100%,2932604
41.01,99%,2931816
33.84,100%,2915852
41.67,100%,2891420
42.41,99%,2931492
39.91,100%,2932432
43.39,99%,2932376
42.48,99%,2932328
41.90,100%,2931892
43.83,100%,2909556
41.93,100%,2931916
41.99,100%,2932600
44.39,100%,2932120
42.22,100%,2932408
42.11,100%,2932056
38.35,100%,2932080
43.29,99%,2932116
41.93,100%,2932064
41.49,99%,2932504
41.90,100%,2932248
38.05,100%,2914952
42.25,100%,2932124
41.83,100%,2931948
41.96,99%,2932124
43.64,100%,2908408
37.34,100%,2932192
43.83,100%,2932076
41.89,100%,2932064
39.33,100%,2932080
42.06,100%,2931984
39.61,100%,2932284
41.96,99%,2931828
42.63,100%,2932372
44.35,100%,2932580
42.27,99%,2931952
43.76,100%,2932188
43.38,100%,2932476
36.21,100%,2932444
40.28,99%,2932256
44.76,99%,2904688
39.40,100%,2931824
42.03,99%,2931628
39.20,99%,2932512
41.97,100%,2931988
