runtime,cpu_usage,memory
3.05,330%,175316
3.09,329%,175244
3.11,334%,175188
5.18,289%,175060
3.11,328%,175060
5.19,320%,175188
3.21,324%,175060
5.10,357%,175188
3.12,335%,175060
5.10,347%,175188
3.57,307%,175172
4.60,353%,175060
4.14,289%,175316
4.19,338%,175316
4.84,282%,175060
3.54,305%,175188
5.30,293%,174972
3.12,329%,175188
5.11,348%,175188
3.13,330%,175060
5.12,353%,175316
3.12,332%,175244
5.22,342%,175316
3.20,324%,175188
5.37,319%,175188
3.17,329%,175316
5.15,349%,175188
3.15,329%,175060
5.10,354%,175188
3.33,321%,174932
4.88,344%,175188
3.90,297%,175188
4.35,347%,175204
4.45,292%,175188
3.93,300%,175188
5.18,289%,175060
3.28,322%,175060
5.21,336%,175060
3.15,327%,175060
5.39,319%,175316
3.19,327%,175188
5.09,366%,175060
3.12,336%,175188
5.08,357%,175316
3.55,305%,175188
4.74,348%,175188
4.04,297%,175188
4.21,342%,175316
4.66,287%,175188
3.75,295%,175188
5.35,288%,175188
3.10,332%,175060
5.13,345%,175060
3.11,328%,175188
5.14,352%,175188
3.08,337%,175100
5.10,345%,175188
3.76,303%,175188
4.43,356%,175188
4.47,282%,175316
3.95,318%,175272
4.96,289%,175060
3.37,312%,174932
5.27,308%,175188
3.18,329%,175176
5.15,355%,175060
3.11,333%,175188
5.34,329%,175188
3.12,333%,175060
5.10,358%,175188
3.14,331%,175060
5.10,347%,175188
3.47,313%,175316
4.78,342%,175188
4.10,297%,175316
4.14,342%,175316
4.97,295%,175060
3.60,300%,175188
5.35,302%,175188
3.11,333%,175188
5.07,363%,175316
3.14,332%,175060
5.18,346%,175060
3.47,307%,175188
4.67,353%,175272
4.02,294%,175188
4.28,345%,175276
4.93,290%,175188
3.68,294%,175188
5.30,302%,175188
3.15,333%,175060
5.05,366%,175188
3.12,332%,175316
5.16,348%,175188
3.64,300%,175316
4.66,350%,175316
4.15,290%,175060
4.16,341%,175188
5.11,288%,175188
3.42,312%,175316
