hora,estado,potencia_W,kWh_intervalo,kWh_acumulado
2026-07-06 19:33:15,ON,11.828,0.000986,0.000986
2026-07-06 19:34:35,ON,11.684,0.000974,0.000974
2026-07-06 19:39:35,ON,63.069,0.005256,0.006229
2026-07-06 19:44:36,ON,77.302,0.006442,0.012671
2026-07-06 19:49:36,ON,77.876,0.00649,0.019161
2026-07-06 19:54:36,ON,31.25,0.002604,0.021765
2026-07-06 19:59:37,ON,27.17,0.002264,0.024029
2026-07-06 20:04:37,ON,28.704,0.002392,0.026421
2026-07-06 20:09:38,ON,27.56,0.002297,0.028718
2026-07-06 20:14:38,ON,60.983,0.005082,0.0338
2026-07-06 20:19:39,ON,28.29,0.002357,0.036157
2026-07-06 20:24:39,ON,45.728,0.003811,0.039968
2026-07-06 20:29:39,ON,81.311,0.006776,0.046744
2026-07-06 20:34:40,ON,31.247,0.002604,0.049348
2026-07-06 20:39:41,ON,30.112,0.002509,0.051857
2026-07-06 20:44:41,ON,33.249,0.002771,0.054628
2026-07-06 20:49:42,ON,31.181,0.002598,0.057226
2026-07-06 20:54:42,ON,31.663,0.002639,0.059865
2026-07-06 20:59:42,ON,31.409,0.002617,0.062482
2026-07-06 21:04:43,ON,31.914,0.002659,0.065142
2026-07-06 21:09:43,ON,32.498,0.002708,0.06785
