runtime,cpu_usage,memory
2.63,100%,203712
2.65,99%,203584
2.65,99%,203584
2.65,99%,203784
2.65,100%,203556
2.65,99%,203572
2.65,99%,203588
5.09,100%,203588
2.65,99%,203716
2.65,99%,203716
2.65,100%,203636
2.65,99%,203552
5.09,99%,203452
2.65,100%,203500
3.81,99%,203584
3.83,99%,203584
2.65,100%,203520
4.74,100%,203588
2.89,99%,203588
2.98,99%,203584
4.66,99%,203588
2.65,99%,203480
5.09,99%,203352
2.65,99%,203716
2.65,99%,203564
2.65,100%,203716
4.48,99%,203588
3.17,99%,203588
2.72,99%,203716
4.92,100%,203584
2.65,100%,203712
5.09,100%,203712
2.65,99%,203712
2.66,99%,203352
4.66,99%,203636
2.99,100%,203584
2.65,100%,203496
2.67,99%,203584
2.68,100%,203712
4.81,100%,203552
2.83,99%,203716
4.64,99%,203584
3.01,99%,203712
2.65,100%,203588
5.10,99%,203716
2.65,100%,203352
2.65,99%,203460
2.65,99%,203588
4.56,100%,203384
3.07,99%,203716
4.37,100%,203584
3.27,100%,203588
2.65,100%,203584
5.09,99%,203584
2.65,100%,203352
2.65,99%,203488
2.65,100%,203588
4.29,99%,203612
3.34,99%,203716
2.65,99%,203716
2.65,99%,203712
2.65,99%,203584
4.41,99%,203712
3.23,99%,203712
2.65,99%,203584
5.10,99%,203476
2.65,99%,203584
2.65,99%,203584
2.65,99%,203716
4.35,99%,203712
3.29,100%,203480
4.15,99%,203588
3.49,100%,203576
2.65,99%,203712
2.65,100%,203548
2.65,99%,203612
2.65,99%,203588
2.65,99%,203716
2.65,99%,203712
4.54,99%,203716
3.10,100%,203716
2.65,99%,203608
2.65,99%,203712
2.71,99%,203584
2.79,100%,203572
2.97,99%,203584
4.67,99%,203460
2.65,99%,203584
2.65,99%,203712
2.65,99%,203716
4.64,100%,203712
3.00,100%,203584
2.65,99%,203588
4.01,99%,203588
3.63,99%,203584
2.65,100%,203552
2.65,99%,203636
4.54,99%,203480
3.10,99%,203480
4.34,100%,203712
