runtime,cpu_usage,memory
17.35,238%,385336
21.42,258%,385208
21.59,251%,385208
18.44,253%,385208
18.80,252%,385208
18.76,253%,385180
18.63,251%,385336
20.10,266%,385208
19.69,264%,385332
18.88,251%,385332
18.80,252%,385336
18.71,248%,385208
18.87,250%,385208
18.72,252%,385208
19.67,264%,385208
18.84,250%,385336
18.74,253%,385292
21.93,242%,385208
18.58,247%,385208
18.83,252%,385208
18.58,248%,385208
18.91,250%,385384
18.85,250%,385336
21.76,265%,385208
18.83,253%,385208
19.00,253%,385208
18.86,252%,385208
18.89,250%,385208
18.80,251%,385208
18.82,252%,385208
18.84,250%,385208
22.04,263%,385208
24.06,235%,385208
21.53,263%,385208
18.57,248%,385208
18.50,245%,385208
22.02,249%,385208
22.56,260%,385336
23.48,240%,385208
21.45,258%,385208
18.72,255%,385080
21.85,262%,385208
18.47,247%,385208
19.05,252%,385332
20.16,268%,385208
18.95,245%,385208
22.38,262%,385336
21.35,239%,385336
18.73,249%,385208
18.82,253%,385336
24.10,235%,385196
18.61,251%,385292
21.94,264%,385336
18.66,249%,385336
21.88,245%,385208
18.74,249%,385208
18.75,247%,385336
18.87,249%,385208
21.88,263%,385208
22.17,262%,385336
21.40,239%,385332
18.85,252%,385204
18.82,252%,385208
18.86,252%,385336
21.89,262%,385336
18.73,248%,385336
23.44,253%,385208
22.21,246%,385080
18.66,249%,385300
18.79,245%,385336
18.69,248%,385208
21.98,266%,385336
18.61,247%,385080
18.66,250%,385208
23.99,232%,385208
18.61,254%,385208
18.57,247%,385332
18.77,246%,385332
18.63,248%,385336
21.77,264%,385208
21.99,264%,385336
21.86,266%,385208
21.90,265%,385208
18.57,251%,385208
18.76,245%,385336
24.19,233%,385208
21.67,257%,385332
18.83,250%,385336
24.13,233%,385336
21.67,263%,385336
18.71,250%,385208
18.75,248%,385336
18.70,246%,385332
24.62,247%,385336
19.55,260%,385336
18.80,246%,385208
21.94,264%,385208
23.43,253%,385224
20.43,249%,385080
18.77,244%,385336
