runtime,cpu_usage,memory
3.86,100%,2688
3.86,99%,2688
3.93,99%,2688
3.93,100%,2816
3.91,100%,2688
3.92,99%,2816
3.92,100%,2688
3.90,99%,2816
3.91,100%,2816
3.93,100%,2688
3.92,99%,2560
3.91,100%,2816
3.93,99%,2688
3.93,100%,2560
3.92,100%,2688
3.93,99%,2688
3.92,100%,2688
3.93,100%,2688
3.92,99%,2816
3.93,99%,2816
3.92,99%,2688
3.91,99%,2688
3.91,100%,2560
3.93,100%,2560
3.92,100%,2688
3.93,100%,2688
3.93,100%,2688
3.91,99%,2688
3.91,100%,2688
3.92,100%,2560
3.92,100%,2816
3.92,99%,2688
3.91,100%,2688
3.91,100%,2688
3.92,100%,2688
3.91,100%,2688
3.92,100%,2688
3.92,99%,2688
3.90,100%,2560
3.92,100%,2688
3.93,100%,2688
3.91,100%,2688
3.91,99%,2816
3.93,99%,2816
3.91,100%,2688
3.93,99%,2688
3.91,99%,2688
3.91,100%,2688
3.92,100%,2688
3.92,99%,2688
3.92,100%,2688
3.93,99%,2560
3.93,100%,2688
3.91,100%,2688
3.92,100%,2688
3.93,100%,2816
3.93,99%,2688
3.92,99%,2688
3.92,100%,2816
3.91,100%,2688
3.93,100%,2688
3.93,100%,2688
3.92,99%,2560
3.93,100%,2688
3.92,100%,2688
3.91,100%,2688
3.92,99%,2688
3.93,99%,2688
3.92,100%,2560
3.92,100%,2816
3.93,100%,2560
3.92,100%,2816
3.92,100%,2816
3.93,99%,2688
3.92,100%,2560
3.94,99%,2688
3.92,100%,2688
3.93,99%,2816
3.92,100%,2688
3.91,99%,2560
3.93,99%,2560
3.91,100%,2816
3.91,100%,2816
3.92,100%,2688
3.92,100%,2688
3.92,100%,2688
3.92,100%,2688
3.92,99%,2688
3.93,100%,2688
3.92,100%,2688
3.94,100%,2688
3.91,100%,2688
3.93,100%,2560
3.92,99%,2688
3.93,99%,2688
3.92,99%,2688
3.93,99%,2688
3.92,100%,2560
3.91,99%,2560
3.92,100%,2688
