hora,estado,potencia_W,kWh_intervalo,kWh_acumulado
2026-07-07 06:04:12,ON,11.617,0.000968,0.000968
2026-07-07 06:09:12,ON,85.834,0.007153,0.008121
2026-07-07 06:14:13,ON,89.373,0.007448,0.015569
2026-07-07 06:19:13,ON,30.435,0.002536,0.018105
2026-07-07 06:24:37,ON,45.666,0.003805,0.02191
2026-07-07 06:29:37,ON,86.569,0.007214,0.029125
2026-07-07 06:34:38,ON,90.039,0.007503,0.036628
2026-07-07 06:39:38,ON,30.214,0.002518,0.039146
2026-07-07 06:44:38,ON,83.237,0.006936,0.046082
2026-07-07 06:49:39,ON,89.495,0.007458,0.05354
2026-07-07 06:54:39,ON,83.303,0.006942,0.060482
2026-07-07 06:59:39,ON,84.327,0.007027,0.067509
2026-07-07 07:04:40,ON,82.835,0.006903,0.074412
2026-07-07 07:09:40,ON,84.01,0.007001,0.081413
2026-07-07 07:14:41,ON,84.854,0.007071,0.088484
2026-07-07 07:19:41,ON,83.967,0.006997,0.095481
2026-07-07 07:24:42,ON,82.931,0.006911,0.102392
2026-07-07 07:29:42,ON,83.804,0.006984,0.109376
2026-07-07 07:34:42,ON,83.022,0.006919,0.116294
2026-07-07 07:39:43,ON,36.148,0.003012,0.119307
2026-07-07 07:44:43,ON,83.7,0.006975,0.126282
2026-07-07 07:49:44,ON,84.308,0.007026,0.133307
2026-07-07 07:54:44,ON,83.566,0.006964,0.140271
2026-07-07 07:59:44,ON,84.4,0.007033,0.147305
2026-07-07 08:04:45,ON,83.425,0.006952,0.154257
2026-07-07 08:09:45,ON,83.48,0.006957,0.161213
2026-07-07 08:14:45,ON,83.167,0.006931,0.168144
2026-07-07 08:19:46,ON,83.36,0.006947,0.17509
2026-07-07 08:24:46,ON,84.982,0.007082,0.182172
2026-07-07 08:29:47,ON,83.803,0.006984,0.189156
2026-07-07 08:34:47,ON,83.456,0.006955,0.196111
2026-07-07 08:39:48,ON,83.258,0.006938,0.203049
2026-07-07 08:44:48,ON,82.959,0.006913,0.209962
2026-07-07 08:49:48,ON,83.404,0.00695,0.216912
2026-07-07 08:54:49,ON,82.728,0.006894,0.223806
2026-07-07 08:59:49,ON,83.448,0.006954,0.23076
2026-07-07 09:04:50,ON,82.975,0.006915,0.237675
2026-07-07 09:09:50,ON,83.272,0.006939,0.244614
2026-07-07 09:14:50,ON,83.398,0.00695,0.251564
2026-07-07 09:19:51,ON,84.721,0.00706,0.258624
2026-07-07 09:24:51,ON,84.409,0.007034,0.265658
2026-07-07 09:29:52,ON,85.513,0.007126,0.272784
2026-07-07 09:34:52,ON,83.289,0.006941,0.279725
2026-07-07 09:39:52,ON,83.812,0.006984,0.286709
2026-07-07 09:44:53,ON,83.47,0.006956,0.293665
2026-07-07 09:49:53,ON,85.457,0.007121,0.300787
2026-07-07 09:54:53,ON,83.281,0.00694,0.307727
2026-07-07 09:59:54,ON,83.655,0.006971,0.314698
2026-07-07 10:04:54,ON,83.063,0.006922,0.32162
2026-07-07 10:09:55,ON,83.22,0.006935,0.328555
2026-07-07 10:14:55,ON,83.528,0.006961,0.335516
2026-07-07 10:19:55,ON,84.203,0.007017,0.342532
2026-07-07 10:24:56,ON,85.015,0.007085,0.349617
2026-07-07 10:29:56,ON,83.37,0.006947,0.356565
2026-07-07 10:34:56,ON,84.246,0.00702,0.363585
2026-07-07 10:39:57,ON,83.72,0.006977,0.370562
2026-07-07 10:44:57,ON,83.255,0.006938,0.3775
2026-07-07 10:49:58,ON,84.39,0.007032,0.384532
2026-07-07 10:54:58,ON,83.227,0.006936,0.391468
2026-07-07 10:59:59,ON,83.44,0.006953,0.398421
2026-07-07 11:04:59,ON,84.129,0.007011,0.405432
2026-07-07 11:10:00,ON,83.107,0.006926,0.412357
2026-07-07 11:15:00,ON,83.165,0.00693,0.419288
2026-07-07 11:20:00,ON,83.372,0.006948,0.426235
2026-07-07 11:25:01,ON,61.674,0.005139,0.431375
2026-07-07 11:30:01,ON,84.789,0.007066,0.438441
2026-07-07 11:35:02,ON,83.204,0.006934,0.445374
2026-07-07 11:40:02,ON,84.53,0.007044,0.452419
2026-07-07 11:45:02,ON,87.708,0.007309,0.459728
2026-07-07 11:50:03,ON,82.971,0.006914,0.466642
2026-07-07 11:55:03,ON,85.401,0.007117,0.473759
2026-07-07 12:00:03,ON,84.403,0.007034,0.480792
2026-07-07 12:05:04,ON,83.596,0.006966,0.487758
2026-07-07 12:10:04,ON,84.316,0.007026,0.494785
2026-07-07 12:15:05,ON,85.293,0.007108,0.501893
2026-07-07 12:20:08,ON,83.653,0.006971,0.508864
2026-07-07 12:25:08,ON,85.011,0.007084,0.515948
2026-07-07 12:30:08,ON,84.247,0.007021,0.522968
2026-07-07 12:35:09,ON,85.15,0.007096,0.530064
2026-07-07 12:40:09,ON,83.415,0.006951,0.537016
2026-07-07 12:45:10,ON,84.095,0.007008,0.544023
2026-07-07 12:50:11,ON,83.873,0.006989,0.551013
2026-07-07 12:55:11,ON,85.093,0.007091,0.558104
2026-07-07 13:00:12,ON,83.4,0.00695,0.565054
2026-07-07 13:05:12,ON,33.463,0.002789,0.567843
2026-07-07 13:10:13,ON,33.278,0.002773,0.570616
2026-07-07 13:15:13,ON,33.29,0.002774,0.57339
2026-07-07 13:20:14,ON,33.22,0.002768,0.576158
2026-07-07 13:25:14,ON,33.517,0.002793,0.578951
2026-07-07 13:30:14,ON,33.385,0.002782,0.581733
2026-07-07 13:35:15,ON,33.587,0.002799,0.584532
2026-07-07 13:40:15,ON,33.563,0.002797,0.587329
2026-07-07 13:45:16,ON,33.392,0.002783,0.590112
2026-07-07 13:50:16,ON,33.218,0.002768,0.59288
2026-07-07 13:55:16,ON,33.594,0.002799,0.59568
2026-07-07 14:00:17,ON,31.533,0.002628,0.598307
2026-07-07 14:05:17,ON,69.057,0.005755,0.604062
2026-07-07 14:10:18,ON,87.657,0.007305,0.611367
2026-07-07 14:15:18,ON,89.26,0.007438,0.618805
2026-07-07 14:20:18,ON,91.358,0.007613,0.626418
2026-07-07 14:25:19,ON,45.534,0.003794,0.630213
2026-07-07 14:30:19,ON,44.785,0.003732,0.633945
2026-07-07 14:35:20,ON,43.141,0.003595,0.63754
2026-07-07 14:40:20,ON,44.836,0.003736,0.641276
2026-07-07 14:45:20,ON,28.7,0.002392,0.643668
2026-07-07 14:50:21,ON,86.272,0.007189,0.650857
2026-07-07 14:55:21,ON,86.661,0.007222,0.658079
2026-07-07 15:00:22,ON,88.301,0.007358,0.665438
