runtime,cpu_usage,memory
220.77,791%,11828
222.49,786%,11696
220.61,792%,11760
221.25,787%,11928
220.23,794%,11784
221.47,789%,11812
221.56,790%,11748
220.58,795%,11568
220.97,792%,11568
220.91,791%,11824
222.29,788%,11588
220.89,792%,11888
222.57,786%,11656
223.67,789%,11696
221.14,790%,11860
221.23,790%,11736
220.26,792%,11740
222.80,788%,11684
222.62,782%,11872
222.74,784%,11740
220.60,795%,11760
222.24,788%,11724
220.35,792%,11872
221.36,790%,11592
220.74,791%,11784
220.67,793%,11800
220.91,790%,11608
220.54,791%,11664
223.22,794%,11640
222.38,785%,11744
220.62,790%,11800
222.07,788%,11796
220.59,792%,11620
221.46,790%,11580
221.43,791%,11836
221.33,789%,11636
222.17,787%,11724
221.87,788%,11720
220.88,789%,11836
222.11,786%,11812
222.09,788%,11740
221.57,789%,11672
221.43,786%,11724
221.13,789%,11652
221.02,790%,11804
221.05,790%,11628
222.43,785%,11884
220.84,793%,12000
221.45,788%,11680
221.67,789%,11572
221.45,791%,11700
223.39,784%,11712
222.37,785%,11804
221.04,793%,11856
226.62,784%,11652
220.58,794%,11768
221.02,793%,11824
222.08,786%,11556
220.88,793%,11752
220.27,796%,11824
222.03,788%,11876
221.35,791%,11708
220.35,792%,11836
220.49,793%,11728
220.96,788%,11820
220.60,791%,11908
220.95,791%,11876
221.71,786%,11664
221.76,786%,11792
221.76,789%,11868
221.01,790%,11724
221.53,789%,11784
222.15,786%,11664
221.67,790%,11784
221.21,790%,11668
221.04,791%,11664
221.35,789%,11712
220.72,789%,11908
222.82,783%,11740
221.13,791%,11656
220.56,792%,11596
220.75,787%,11716
220.32,793%,11744
221.71,785%,11672
220.78,792%,11812
219.95,793%,11872
222.63,785%,11812
223.36,781%,11752
221.63,786%,11664
221.18,788%,11852
221.24,788%,11908
221.94,785%,11752
220.70,791%,11832
222.80,793%,11688
220.59,795%,11636
221.25,788%,11836
221.32,789%,11888
221.22,790%,11648
221.34,789%,11804
221.21,784%,11836
