runtime,cpu_usage,memory
345.59,799%,76228
347.24,799%,76392
349.20,799%,76288
346.52,799%,75968
349.51,799%,76400
347.18,799%,75904
355.76,799%,76032
348.13,799%,76272
346.30,799%,76096
353.93,799%,76112
348.57,799%,76088
347.06,799%,76264
349.29,799%,75972
348.22,799%,76096
358.74,799%,75948
348.64,799%,76032
348.62,799%,76024
347.56,799%,75972
347.53,799%,76240
347.79,799%,75904
351.36,799%,76056
346.28,799%,76032
348.23,799%,76416
349.41,799%,76056
349.64,799%,75976
352.44,799%,76228
349.36,799%,75992
352.17,799%,76288
348.16,799%,76416
347.53,799%,75840
348.36,799%,75800
349.36,799%,75968
348.35,799%,76032
349.17,799%,75868
348.53,799%,76032
349.91,799%,76104
347.74,799%,75864
353.06,799%,76032
361.03,799%,75880
352.77,799%,76036
349.03,799%,75848
349.48,799%,75904
348.14,799%,75904
348.61,799%,76224
347.29,799%,76012
349.17,799%,76288
348.91,799%,76288
347.43,799%,76288
348.53,799%,76032
348.73,799%,75992
357.83,799%,76160
349.80,799%,76100
347.81,799%,76224
348.29,799%,75976
351.83,799%,76100
349.93,799%,75984
351.04,799%,76292
349.83,799%,76228
353.10,797%,76056
351.66,799%,76000
366.87,799%,76160
348.40,799%,76204
357.66,799%,76228
348.49,799%,75904
350.72,799%,76288
351.03,799%,75776
352.77,799%,76112
350.03,799%,76148
350.35,799%,76032
351.58,799%,76036
350.67,799%,75776
350.42,799%,76020
350.31,799%,76288
349.86,799%,76068
349.77,799%,76160
349.24,799%,76156
349.82,799%,75948
349.97,799%,76212
349.91,799%,76092
354.60,799%,76288
352.63,799%,76240
349.99,799%,76032
348.95,799%,76120
350.06,799%,76288
353.33,799%,76032
349.73,799%,76344
360.03,799%,75968
359.81,799%,76160
349.88,799%,75904
350.98,799%,75776
349.53,799%,76404
348.19,799%,75928
355.92,799%,76376
351.31,799%,76140
352.68,799%,76224
352.00,799%,76052
349.83,799%,76052
350.38,799%,76032
352.79,799%,75960
348.71,799%,75904
