runtime,cpu_usage,memory
308.35,99%,6144
365.56,99%,6144
330.45,99%,6144
329.30,99%,6016
302.04,99%,6144
312.85,99%,6272
334.67,99%,6144
323.91,99%,6144
263.31,99%,6272
319.45,99%,6144
313.81,99%,6144
260.07,99%,6144
330.38,99%,6272
316.25,99%,6144
323.15,99%,6144
263.07,99%,6144
261.09,99%,6016
316.74,99%,6144
260.85,99%,6016
270.65,99%,6144
322.20,99%,6144
313.81,99%,6144
322.40,99%,6144
324.87,99%,6016
262.06,99%,6144
314.87,99%,6016
313.90,99%,6272
316.12,99%,6272
259.08,99%,6144
332.52,99%,6144
317.28,99%,6144
327.70,99%,6016
313.72,99%,6144
258.28,99%,6144
263.10,99%,6272
267.45,99%,6016
312.96,99%,6144
316.07,99%,6272
262.92,99%,6144
331.95,99%,6144
327.21,99%,6272
271.01,99%,6144
313.80,99%,6144
325.13,99%,6272
305.86,99%,6144
320.98,99%,6144
323.21,99%,6144
257.36,99%,6016
258.50,99%,6144
259.46,99%,6144
314.51,99%,6144
308.99,99%,6016
301.06,99%,6272
318.80,99%,6016
222.95,99%,6144
249.79,99%,6144
308.35,99%,6144
227.75,99%,6144
305.64,99%,6144
296.49,99%,6144
319.22,99%,6272
301.04,99%,6144
292.42,99%,6144
299.64,99%,6272
301.55,99%,6016
321.10,99%,6144
292.75,99%,6144
297.76,99%,6144
294.08,99%,6144
289.20,99%,6144
292.87,99%,6016
287.60,99%,6144
283.72,99%,6144
321.12,99%,6144
296.00,99%,6144
299.41,99%,6272
302.64,99%,6272
244.19,99%,6016
339.31,99%,6016
327.77,99%,6144
322.91,99%,6016
241.46,99%,6144
306.04,99%,6016
306.34,99%,6016
317.97,99%,6144
319.77,99%,6144
309.72,99%,6016
305.83,99%,6272
240.28,99%,6144
306.16,99%,6016
305.40,99%,6144
319.28,99%,6144
298.78,99%,6144
319.52,99%,6144
298.78,99%,6144
314.99,99%,6144
294.96,99%,6272
304.96,99%,6144
306.69,99%,6272
239.42,99%,6272
