runtime,cpu_usage,memory
9.81,273%,156892
9.98,276%,156896
9.99,320%,156820
12.43,295%,156776
10.12,291%,156816
10.70,309%,156896
11.92,282%,156936
10.03,318%,157056
12.16,296%,156936
9.04,294%,156888
9.59,309%,156808
9.57,309%,156888
9.57,309%,156764
9.58,309%,156808
9.56,310%,156812
9.55,309%,156988
9.61,308%,156780
9.55,309%,157016
9.57,310%,156760
9.55,309%,156892
9.56,309%,156740
9.56,309%,157020
9.53,309%,156868
9.55,309%,157020
12.56,296%,156744
10.30,297%,156896
10.74,309%,157020
12.02,283%,156840
10.00,320%,156660
12.51,294%,156896
10.31,294%,156896
10.80,308%,156892
11.94,282%,156936
10.26,317%,156984
12.51,297%,156672
10.20,296%,157024
10.96,307%,156808
9.87,299%,156768
9.60,309%,156720
9.58,309%,156764
12.14,300%,156936
10.98,283%,156728
10.72,309%,156640
12.17,283%,156992
10.12,317%,157020
10.39,317%,157036
9.58,310%,156808
9.61,309%,156788
9.61,310%,156684
9.61,308%,156960
9.60,309%,156504
9.65,313%,156892
9.54,309%,156892
9.58,308%,156808
9.55,310%,157024
9.58,309%,156896
9.64,308%,156948
9.61,308%,156644
9.56,309%,156764
12.62,296%,156808
10.23,297%,156640
11.09,306%,157020
9.83,299%,156936
9.58,309%,156904
9.62,310%,156660
9.61,309%,156908
9.62,309%,157020
12.38,296%,156932
10.58,288%,156768
10.88,308%,156996
11.97,282%,157148
10.11,319%,156892
12.58,295%,157020
10.49,295%,156940
11.56,302%,156640
11.32,279%,156680
10.00,321%,157016
12.59,293%,156768
10.30,301%,156988
11.71,301%,156892
11.17,278%,156872
10.55,313%,156764
12.30,285%,156896
10.14,313%,157024
12.13,297%,156892
10.80,284%,157148
10.99,305%,156896
11.96,280%,156776
10.12,321%,157020
12.50,297%,156660
10.32,299%,156940
11.36,303%,156636
11.51,280%,157020
10.14,321%,156696
12.62,291%,156828
10.19,305%,156808
10.35,317%,156892
9.62,309%,156832
12.19,299%,156760
10.82,281%,156896
