runtime,cpu_usage,memory
3.49,99%,998240
3.45,99%,998108
3.44,99%,998236
3.45,99%,998108
3.49,99%,998240
3.45,99%,998236
3.45,100%,998364
3.46,99%,998112
5.84,100%,998176
3.46,99%,998040
5.02,99%,998108
4.26,99%,998108
3.53,99%,998108
5.89,99%,998236
3.46,99%,998212
3.45,99%,998112
3.45,100%,998240
4.37,99%,998216
4.86,99%,998236
3.45,99%,998236
3.47,99%,998304
3.57,99%,998112
3.45,99%,998236
3.45,99%,998112
4.72,99%,998112
4.52,99%,998236
3.45,99%,998236
3.62,99%,998284
5.85,99%,998240
3.53,99%,998108
5.88,100%,998236
3.45,99%,998328
3.52,99%,998192
5.86,99%,998028
3.45,99%,998236
3.47,99%,998236
5.88,99%,998188
3.50,100%,998236
5.89,99%,998160
4.58,99%,998236
4.67,99%,998104
3.45,99%,998236
4.58,99%,998064
4.68,100%,998200
3.53,99%,998128
5.85,99%,998368
3.45,99%,998212
3.53,99%,998236
5.86,99%,998236
3.45,99%,998236
3.46,99%,998112
5.10,100%,998236
4.26,100%,998236
3.45,99%,998236
3.48,99%,998364
3.48,99%,997992
3.47,99%,998368
3.47,100%,998108
3.48,99%,998236
3.49,100%,998108
5.87,99%,998240
3.46,99%,998236
4.62,99%,998108
4.61,99%,998220
3.45,99%,998108
3.48,99%,998236
5.91,99%,998272
3.46,99%,998108
5.01,99%,998364
4.41,99%,998240
3.45,99%,998240
3.48,99%,998132
5.79,99%,998236
3.46,100%,998236
3.47,99%,998236
3.56,99%,998036
5.86,99%,998108
3.46,99%,998148
3.47,99%,998108
3.47,100%,998112
3.49,99%,998112
5.87,99%,997980
3.46,99%,998240
3.47,99%,998208
3.56,99%,998236
5.86,99%,998236
4.74,100%,998236
4.49,99%,998240
3.45,100%,998108
3.45,99%,998236
3.56,99%,998240
5.86,99%,998112
4.96,99%,998156
4.31,99%,998364
3.46,99%,998236
3.47,99%,998236
3.47,99%,998108
3.75,99%,998236
5.56,99%,998184
3.47,99%,998236
