runtime,cpu_usage,memory
14.25,781%,15012
14.42,774%,14684
14.20,782%,14844
14.48,770%,14944
14.17,785%,14892
14.16,785%,14512
14.18,785%,14572
14.21,785%,14732
14.17,785%,14468
14.26,781%,14672
14.20,784%,14628
14.19,785%,14640
14.17,785%,14656
14.20,785%,14620
14.16,785%,14532
14.18,785%,14844
14.19,785%,14812
14.54,768%,14800
14.19,784%,14860
14.20,783%,14816
14.19,785%,14684
14.20,785%,14692
14.17,785%,14584
14.18,785%,14772
14.43,784%,14624
14.19,785%,14660
14.20,785%,14676
14.18,784%,14392
14.19,785%,14392
14.16,786%,14816
14.16,785%,14688
14.18,785%,14692
14.16,785%,14688
14.17,785%,14728
14.21,785%,14568
14.20,783%,14576
14.37,776%,14676
14.16,785%,14652
14.22,784%,14484
14.17,785%,14712
14.16,785%,14664
14.18,786%,14600
14.48,782%,14620
14.18,786%,14912
14.19,784%,14704
14.18,785%,14588
14.17,786%,14716
14.18,785%,14712
14.31,785%,14664
14.19,785%,14740
14.16,785%,14676
14.18,785%,14684
14.24,783%,14828
14.15,785%,14636
14.17,785%,14720
14.16,785%,14756
14.20,784%,14736
14.18,785%,14676
14.66,786%,14752
14.18,785%,14700
14.18,785%,14572
14.23,783%,14520
14.24,784%,14852
14.51,766%,14732
14.17,785%,14540
14.18,785%,14652
14.20,785%,14588
14.17,785%,14780
14.20,785%,14568
14.18,784%,14804
14.17,785%,14712
14.19,785%,14740
14.18,785%,14596
14.17,785%,14720
14.22,783%,14684
14.16,786%,14676
14.23,783%,14840
14.21,784%,14768
14.27,782%,14796
14.16,785%,14652
14.17,785%,14600
14.27,782%,14748
14.17,785%,14744
14.16,785%,14544
14.16,785%,14580
14.16,785%,14792
14.18,784%,14532
14.20,785%,14772
14.23,784%,14564
14.19,785%,14896
14.19,785%,14608
14.18,785%,14760
14.19,785%,14672
14.19,784%,14636
14.21,785%,14648
14.41,785%,14744
14.20,785%,14680
14.17,785%,14584
14.19,785%,14592
14.21,785%,14652
