runtime,cpu_usage,memory
17.93,575%,956024
17.70,578%,955880
17.92,570%,956180
18.04,576%,956288
17.73,574%,956112
17.86,577%,956004
17.78,578%,956200
17.84,573%,955868
18.05,564%,956072
17.89,576%,956024
17.71,578%,956108
17.74,579%,956052
17.96,568%,956012
17.89,571%,956192
17.85,572%,956172
17.84,577%,955976
17.79,579%,956136
18.20,570%,956120
17.91,576%,956228
17.82,584%,956080
18.01,572%,956136
18.00,574%,956052
18.10,563%,956228
17.66,583%,956056
17.97,574%,956016
17.74,577%,955812
17.83,581%,956184
17.85,579%,956140
17.88,570%,955868
17.75,583%,956080
17.67,588%,956072
17.86,571%,956040
17.90,579%,956060
17.77,579%,955904
17.83,577%,955936
18.06,567%,956068
17.84,577%,956112
17.78,577%,956120
18.02,571%,956000
17.69,584%,956052
17.90,573%,956092
17.94,576%,955960
17.72,583%,956044
17.90,574%,956112
18.00,574%,956152
17.87,578%,955976
18.07,568%,956048
17.91,575%,956116
17.72,580%,955892
18.00,565%,955952
17.80,574%,956172
17.76,582%,956032
18.00,572%,956120
17.80,583%,955912
17.87,573%,955828
18.02,566%,956116
17.80,577%,956012
17.77,576%,955988
18.08,569%,955944
17.86,575%,956128
17.76,578%,955948
18.07,565%,956088
18.00,573%,956172
17.83,573%,956132
18.07,572%,956028
17.84,575%,956260
17.65,580%,956120
17.86,580%,956156
17.86,582%,956220
17.92,571%,956208
18.09,566%,956184
17.88,574%,956204
17.81,578%,956080
17.88,574%,955836
17.76,583%,955860
17.85,569%,956096
18.06,565%,956088
17.90,577%,956064
17.71,577%,956196
17.76,578%,956120
17.77,579%,955868
17.84,572%,956180
17.94,575%,956196
17.82,575%,956276
17.83,574%,956196
17.77,573%,956240
17.75,581%,956040
17.69,579%,956140
17.76,580%,956220
17.98,575%,956044
17.67,576%,956124
18.06,567%,955972
17.75,577%,956044
17.99,569%,956084
17.90,576%,956020
17.77,581%,956100
17.93,573%,956152
17.69,581%,956156
17.91,573%,956032
18.04,571%,956068
