hora,estado,potencia_W,kWh_intervalo,kWh_acumulado
2026-07-20 10:55:51,ON,11.821,0.000985,0.000985
2026-07-20 10:59:48,ON,11.626,0.000969,0.000969
2026-07-20 11:04:48,ON,86.058,0.007171,0.00814
2026-07-20 11:09:49,ON,84.741,0.007062,0.015202
2026-07-20 11:14:49,ON,31.75,0.002646,0.017848
2026-07-20 11:19:49,ON,82.032,0.006836,0.024684
2026-07-20 11:24:50,ON,84.228,0.007019,0.031703
2026-07-20 11:29:50,ON,10.662,0.000889,0.032591
2026-07-20 11:34:50,ON,82.939,0.006912,0.039503
2026-07-20 11:39:51,ON,83.772,0.006981,0.046484
2026-07-20 11:44:51,ON,82.605,0.006884,0.053368
2026-07-20 11:49:52,ON,82.826,0.006902,0.06027
2026-07-20 11:54:52,ON,82.912,0.006909,0.067179
2026-07-20 11:59:52,ON,82.784,0.006899,0.074078
2026-07-20 12:04:53,ON,82.942,0.006912,0.08099
2026-07-20 12:09:53,ON,83.326,0.006944,0.087934
2026-07-20 12:14:54,ON,83.005,0.006917,0.094851
2026-07-20 12:19:54,ON,84.34,0.007028,0.101879
2026-07-20 12:24:54,ON,83.056,0.006921,0.1088
2026-07-20 12:29:55,ON,83.711,0.006976,0.115776
2026-07-20 12:34:55,ON,85.657,0.007138,0.122914
2026-07-20 12:39:56,ON,82.734,0.006894,0.129809
2026-07-20 12:44:56,ON,82.932,0.006911,0.13672
2026-07-20 12:49:56,ON,83.119,0.006927,0.143646
2026-07-20 12:54:57,ON,82.883,0.006907,0.150553
2026-07-20 12:59:57,ON,82.946,0.006912,0.157465
2026-07-20 13:04:58,ON,82.956,0.006913,0.164378
2026-07-20 13:09:58,ON,83.232,0.006936,0.171314
2026-07-20 13:14:58,ON,83.816,0.006985,0.178299
2026-07-20 13:19:59,ON,83.058,0.006921,0.185221
2026-07-20 13:24:59,ON,82.635,0.006886,0.192107
2026-07-20 13:30:00,ON,83.129,0.006927,0.199034
2026-07-20 13:35:00,ON,83.192,0.006933,0.205967
2026-07-20 13:40:01,ON,83.122,0.006927,0.212894
2026-07-20 13:45:01,ON,83.25,0.006938,0.219831
2026-07-20 13:50:02,ON,83.613,0.006968,0.226799
2026-07-20 13:55:02,ON,83.485,0.006957,0.233756
2026-07-20 14:00:02,ON,83.174,0.006931,0.240687
2026-07-20 14:05:03,ON,33.631,0.002803,0.24349
2026-07-20 14:10:03,ON,33.791,0.002816,0.246306
2026-07-20 14:15:03,ON,33.508,0.002792,0.249098
2026-07-20 14:20:04,ON,33.572,0.002798,0.251896
2026-07-20 14:25:04,ON,33.446,0.002787,0.254683
2026-07-20 14:30:05,ON,33.42,0.002785,0.257468
2026-07-20 14:35:05,ON,33.821,0.002818,0.260286
2026-07-20 14:40:06,ON,33.47,0.002789,0.263076
2026-07-20 14:45:06,ON,83.726,0.006977,0.270053
2026-07-20 14:50:06,ON,33.879,0.002823,0.272876
2026-07-20 14:55:07,ON,56.694,0.004724,0.2776
2026-07-20 15:00:07,ON,84.275,0.007023,0.284623
2026-07-20 15:05:08,ON,84.305,0.007025,0.291649
2026-07-20 15:10:08,ON,83.761,0.00698,0.298629
2026-07-20 15:15:08,ON,85.434,0.007119,0.305748
2026-07-20 15:20:09,ON,84.92,0.007077,0.312825
2026-07-20 15:25:09,ON,85.692,0.007141,0.319966
2026-07-20 15:30:10,ON,85.597,0.007133,0.327099
2026-07-20 15:35:10,ON,85.169,0.007097,0.334197
2026-07-20 15:40:10,ON,85.479,0.007123,0.34132
2026-07-20 15:45:11,ON,85.201,0.0071,0.34842
2026-07-20 15:50:11,ON,85.477,0.007123,0.355543
2026-07-20 15:55:12,ON,85.583,0.007132,0.362675
2026-07-20 16:00:12,ON,85.149,0.007096,0.369771
2026-07-20 16:05:12,ON,85.519,0.007127,0.376897
2026-07-20 16:10:13,ON,85.438,0.00712,0.384017
2026-07-20 16:15:13,ON,86.621,0.007218,0.391236
2026-07-20 16:20:14,ON,86.068,0.007172,0.398408
2026-07-20 16:25:14,ON,86.041,0.00717,0.405578
2026-07-20 16:30:14,ON,33.227,0.002769,0.408347
