runtime,cpu_usage,memory
91.20,796%,20508
91.81,790%,20436
91.26,796%,20628
91.54,793%,20612
91.63,793%,20288
91.59,791%,20700
91.99,788%,20460
91.20,795%,20328
91.41,794%,20408
91.46,794%,20544
91.50,792%,20284
91.50,793%,20372
91.74,791%,20380
91.95,788%,20464
91.24,797%,20280
91.49,793%,20276
91.79,791%,20416
92.10,788%,20344
91.46,795%,20556
91.88,792%,20388
91.35,793%,20452
91.28,794%,20360
91.22,796%,20212
91.36,794%,20396
91.52,797%,20448
92.02,792%,20528
91.77,790%,20512
91.96,790%,20456
91.35,796%,20420
91.82,791%,20492
91.23,796%,20544
91.43,795%,20252
92.21,788%,20440
91.31,796%,20388
91.83,794%,20220
91.29,795%,20304
91.29,795%,20484
91.33,795%,20376
91.89,791%,20440
91.99,791%,20152
91.95,790%,20616
91.69,790%,20312
91.99,792%,20156
91.31,797%,20236
91.13,795%,20580
91.52,794%,20440
91.59,792%,20320
91.62,792%,20360
91.91,788%,20260
91.43,794%,20348
91.30,796%,20488
91.45,794%,20652
91.62,792%,20292
91.40,797%,20328
91.49,795%,20484
91.79,790%,20516
91.42,793%,20292
92.11,789%,20560
91.22,798%,20312
91.26,795%,20408
91.25,797%,20496
93.01,796%,20332
91.42,795%,20592
91.62,792%,20444
91.50,793%,20612
91.67,792%,20736
91.24,795%,20500
91.85,790%,20488
91.72,794%,20512
91.27,796%,20476
93.11,795%,20532
92.03,791%,20628
91.64,792%,20296
91.90,788%,20436
91.61,792%,20428
91.39,796%,20404
91.19,797%,20324
91.24,796%,20320
91.55,793%,20304
91.67,791%,20412
91.22,797%,20648
91.51,793%,20444
91.68,792%,20312
91.47,794%,20504
91.77,789%,20516
91.80,791%,20424
91.43,795%,20652
91.83,790%,20576
91.33,794%,20360
91.50,793%,20588
91.68,793%,20488
91.70,791%,20568
91.50,792%,20548
91.38,793%,20468
91.43,792%,20456
91.39,792%,20464
94.08,790%,20408
91.89,790%,20536
91.62,792%,20196
91.58,793%,20388
