runtime,cpu_usage,memory
70.76,798%,52992
71.14,798%,53248
71.15,798%,52864
71.00,797%,52992
70.94,798%,53248
72.09,799%,53248
71.04,798%,53120
70.68,798%,53344
70.79,799%,52992
70.81,798%,52864
71.20,798%,53348
71.11,798%,53348
71.04,798%,53248
70.86,799%,53376
71.07,798%,53120
71.19,798%,52864
70.93,798%,53376
71.19,798%,53120
71.15,798%,53344
71.19,797%,53376
70.74,798%,52992
71.11,798%,53120
75.80,798%,52864
71.53,796%,52864
70.87,798%,53120
71.16,798%,53120
71.01,798%,53248
72.38,798%,53120
71.27,798%,53120
71.08,798%,52992
71.12,798%,52864
71.42,798%,53248
75.94,798%,53120
71.08,798%,52992
71.27,796%,52992
73.29,791%,52864
71.03,797%,52736
71.26,798%,52992
71.33,798%,53120
71.27,798%,53120
71.33,797%,52864
71.09,798%,53120
71.12,798%,53120
71.27,798%,53120
71.32,798%,53248
71.16,798%,53248
70.92,798%,53248
70.86,798%,53248
70.73,798%,53120
71.18,798%,53120
71.12,798%,53216
71.28,798%,53120
71.18,798%,53120
72.46,798%,52992
71.31,798%,53120
70.96,798%,53376
75.80,798%,52736
70.64,798%,52992
71.07,798%,53220
71.17,798%,53120
71.08,798%,52992
71.73,794%,52736
71.62,794%,52964
71.33,798%,53120
72.06,798%,53120
71.20,798%,53120
70.77,798%,53120
70.96,799%,52992
71.46,798%,53348
73.67,798%,53120
71.23,798%,53248
71.11,798%,53088
71.25,798%,52992
70.64,798%,53120
71.25,798%,53220
71.12,798%,53120
70.92,798%,52992
70.95,798%,52992
71.83,792%,52832
71.25,797%,52736
71.16,798%,53120
71.33,798%,52864
71.42,798%,53120
71.11,798%,53344
70.92,798%,52608
71.26,798%,52992
71.37,798%,53216
71.28,798%,53120
74.33,799%,53120
71.05,798%,52736
71.36,798%,52992
71.00,798%,53120
70.90,798%,53120
70.72,798%,53248
70.98,798%,52992
76.21,797%,53220
71.00,798%,52992
71.11,798%,53120
71.17,798%,52992
71.44,798%,52992
