runtime,cpu_usage,memory
0.68,99%,21060
0.67,99%,21156
0.67,99%,20904
0.70,99%,21144
0.67,100%,21100
0.67,100%,21400
0.67,100%,21272
0.67,99%,20944
0.67,100%,21092
0.67,99%,21188
0.67,99%,21148
0.67,99%,21040
0.67,99%,21272
0.67,99%,21332
0.67,100%,21256
0.67,100%,21128
0.67,99%,20988
0.67,99%,21288
0.67,100%,21032
0.67,99%,21232
0.67,99%,21008
0.67,100%,21204
0.67,99%,21032
0.67,100%,21264
0.67,99%,21372
0.67,100%,21124
0.67,100%,21144
0.67,100%,20972
0.67,99%,21336
0.67,99%,20908
0.67,99%,21204
0.67,100%,21232
0.67,100%,21128
0.67,100%,21216
0.67,99%,21244
0.67,100%,21108
0.67,100%,21288
0.67,100%,21000
0.67,99%,21220
0.68,100%,21040
0.67,99%,20996
0.68,99%,21080
0.76,100%,21376
0.68,100%,21108
0.67,99%,21276
0.67,99%,21168
0.67,100%,21036
0.67,99%,21248
0.67,100%,21180
0.71,99%,20864
0.67,100%,20920
0.67,99%,21216
0.67,99%,21240
0.67,100%,21276
0.67,99%,21060
0.67,99%,20912
0.67,99%,21276
0.67,99%,21200
0.67,100%,21272
0.68,100%,21148
0.67,99%,21288
0.67,99%,21016
0.68,100%,21120
0.74,99%,20936
0.67,100%,21136
0.71,99%,21136
0.67,100%,21140
0.67,99%,21304
0.76,100%,20900
0.67,100%,21248
0.67,99%,20960
0.67,100%,20836
0.67,99%,21328
0.68,99%,21200
0.67,100%,21208
0.67,99%,21352
0.67,99%,21088
0.67,99%,21100
0.67,100%,21080
0.67,99%,21136
0.67,100%,21148
0.68,99%,21092
0.67,99%,21268
0.67,99%,21188
0.67,99%,21240
0.67,100%,21120
0.68,100%,20860
0.67,99%,21276
0.67,99%,20920
0.67,99%,21160
0.67,99%,21192
0.67,99%,21104
0.67,99%,21032
0.67,100%,21200
0.67,99%,21460
0.67,99%,21196
0.67,100%,21056
0.67,99%,20960
0.68,99%,21188
0.67,99%,21240
