runtime,cpu_usage,memory
5.96,61%,542336
5.94,61%,542372
5.93,61%,542372
5.95,61%,542216
5.98,61%,542428
5.93,61%,542508
5.94,61%,542352
5.93,61%,542372
6.00,61%,542068
5.98,60%,542460
5.93,61%,542380
5.96,61%,542244
5.95,61%,542384
5.95,61%,542292
5.95,61%,542420
5.93,61%,542428
5.95,61%,542376
5.94,61%,542328
5.97,61%,542220
5.93,62%,542440
5.94,61%,542400
5.93,61%,542428
5.94,61%,542372
5.95,61%,542372
5.96,62%,542328
6.01,60%,542300
5.94,61%,542260
5.98,61%,542376
6.19,63%,542380
5.95,61%,542320
5.95,62%,542300
6.04,61%,542436
5.96,61%,542220
5.94,61%,542408
6.00,61%,542176
5.94,61%,542152
6.35,64%,542384
6.01,61%,542304
5.95,61%,542380
5.97,61%,542424
5.98,62%,542376
6.00,60%,542212
5.95,61%,542344
6.01,60%,542356
5.96,61%,542124
5.94,61%,542448
5.95,61%,542236
5.97,62%,542508
5.92,61%,542048
5.97,61%,542352
5.94,61%,542204
6.01,61%,542352
6.02,60%,542332
5.94,61%,542440
5.94,61%,542320
5.95,61%,542268
5.98,61%,542348
5.95,62%,542476
5.93,61%,542220
5.94,61%,542268
5.95,61%,542216
5.94,61%,542360
5.94,61%,542408
5.97,62%,542196
5.97,61%,542380
6.02,60%,542244
5.95,61%,542328
5.94,61%,542212
6.00,60%,542080
6.00,60%,542572
5.93,61%,542180
6.00,61%,542144
6.01,60%,542188
5.96,61%,542156
5.96,61%,542516
6.00,61%,542492
5.95,62%,542332
5.95,61%,542180
5.93,61%,542532
6.02,61%,542344
5.93,61%,542420
6.03,61%,542188
5.95,61%,542268
5.99,61%,542336
6.07,60%,542272
5.98,62%,542212
5.94,61%,542400
5.95,61%,542472
5.96,61%,542364
6.02,60%,542224
5.94,61%,542272
6.00,61%,542200
5.94,61%,542144
6.00,61%,542392
5.97,61%,542148
6.03,60%,542300
5.97,61%,542360
5.99,61%,542248
5.96,61%,542248
5.94,61%,542400
