runtime,cpu_usage,memory
51.85,731%,277804
54.70,742%,275072
55.39,748%,274816
54.58,749%,274944
55.33,747%,274944
55.18,748%,274816
54.18,749%,275072
54.80,748%,274944
54.06,749%,274816
55.20,748%,274944
55.44,749%,274560
54.71,749%,274944
55.48,749%,274944
54.22,748%,274816
56.12,750%,274816
55.32,747%,275200
54.58,749%,274816
55.76,749%,274944
55.40,749%,275072
55.63,750%,274944
54.46,750%,274816
56.05,749%,274816
54.84,749%,274816
55.61,749%,275072
55.56,748%,274816
54.23,749%,274816
54.46,747%,274944
55.49,749%,274816
54.07,749%,275072
55.36,748%,274944
55.84,750%,274816
55.41,749%,274944
54.35,750%,274944
56.23,749%,274688
55.53,750%,275072
55.77,748%,274944
56.01,749%,274816
54.61,748%,274944
55.37,748%,274944
55.97,748%,274944
55.50,750%,274944
55.78,747%,274944
55.48,748%,274944
55.71,748%,274816
56.43,750%,275072
55.66,748%,274944
55.70,748%,274816
56.31,750%,274688
55.40,750%,274944
54.41,748%,275072
54.54,749%,274816
56.35,752%,274816
54.92,748%,274816
55.38,748%,274816
54.62,748%,274816
55.78,749%,274816
56.02,750%,274816
56.12,750%,275200
55.60,750%,275072
55.59,748%,274816
55.78,748%,274944
54.83,749%,274816
54.32,750%,275200
55.73,749%,274816
55.85,749%,275072
56.01,750%,274944
55.87,748%,274816
55.95,748%,274688
55.39,747%,274944
56.29,750%,275072
55.54,750%,274944
54.68,749%,275072
55.93,749%,274816
55.34,748%,274688
55.86,750%,275072
55.90,747%,274944
55.60,750%,274816
54.64,750%,274944
55.89,750%,274944
55.59,751%,275072
55.26,749%,274944
55.76,747%,274816
55.54,749%,275072
55.27,749%,274944
55.22,750%,274944
55.92,749%,274944
55.46,750%,274944
55.74,748%,274816
55.85,748%,274944
55.68,749%,274816
55.60,747%,274688
56.01,750%,274688
56.22,751%,274944
55.58,748%,274816
54.68,750%,274816
55.76,749%,274688
55.92,749%,274688
56.14,750%,274816
55.41,748%,274816
55.30,750%,275072
