runtime,cpu_usage,memory
170.41,787%,18852
170.46,788%,18800
170.52,787%,18528
169.88,787%,18332
168.71,787%,18636
170.43,787%,18792
168.84,787%,18768
170.47,787%,18684
171.01,788%,18732
169.93,787%,18856
170.24,786%,18532
169.89,787%,18824
168.00,788%,18484
170.01,787%,18840
170.15,786%,18828
169.99,788%,18668
170.41,789%,18652
170.29,787%,18828
170.43,787%,18832
168.34,786%,18624
168.44,788%,18660
169.58,787%,18652
170.72,787%,18928
170.49,787%,18644
170.12,788%,19132
169.92,788%,18684
169.96,789%,18652
168.35,787%,18468
169.47,787%,18656
169.97,788%,18864
168.48,787%,18532
169.60,787%,18624
169.75,788%,18624
170.64,787%,18920
169.86,786%,18832
168.73,787%,18888
169.65,786%,18668
169.77,788%,18528
168.09,788%,18788
170.29,788%,18456
168.86,787%,18868
170.33,790%,18828
171.29,787%,18712
169.73,786%,18860
170.31,787%,18796
171.37,786%,18676
168.63,787%,18644
170.16,786%,18660
168.39,787%,18816
168.59,788%,18528
169.36,788%,18404
169.99,788%,18656
170.08,787%,18672
170.69,787%,18928
169.54,786%,18856
170.40,785%,19040
170.08,788%,18828
168.62,787%,18740
170.02,788%,18556
168.42,788%,18868
169.49,788%,18532
170.36,786%,19340
168.55,787%,18676
170.66,787%,18712
168.79,788%,18532
168.72,787%,18532
169.81,787%,18536
170.14,788%,18652
168.68,787%,18652
168.61,788%,18628
169.97,787%,19464
168.77,788%,18764
169.13,787%,18856
169.25,787%,18668
169.09,788%,18856
169.62,789%,18640
168.81,787%,18824
170.07,787%,18920
169.38,787%,18688
171.02,786%,18656
168.45,789%,18856
169.39,788%,18852
169.41,787%,18672
169.51,788%,18700
169.06,786%,18652
170.31,787%,18656
169.27,787%,18504
170.26,786%,18652
170.76,786%,18792
170.19,788%,18656
169.96,788%,18852
170.47,788%,18828
170.41,786%,19172
169.60,787%,18696
169.46,788%,18672
169.94,787%,18780
170.28,787%,18924
170.25,787%,18804
170.68,787%,18532
169.69,786%,18664
