runtime,cpu_usage,memory
116.88,795%,18664
118.96,796%,18396
115.52,796%,18904
117.68,797%,18432
116.63,797%,18244
116.13,796%,18416
115.43,796%,18536
115.53,796%,18404
116.52,796%,18364
117.80,796%,18448
117.90,796%,18388
115.87,796%,18404
115.90,796%,18528
116.15,796%,18384
116.02,796%,18604
116.79,796%,18372
116.56,796%,18444
117.45,796%,18620
116.93,796%,18516
116.37,796%,18592
116.15,796%,18400
116.25,796%,18552
116.34,796%,18620
117.02,796%,18288
117.22,796%,18404
115.73,796%,18960
116.04,796%,18620
116.08,796%,18384
118.77,796%,18556
117.68,796%,18256
116.71,796%,18548
116.88,796%,18404
117.25,796%,18404
116.57,796%,18660
117.30,796%,18328
116.90,796%,18624
117.05,796%,18676
115.97,796%,18520
116.30,795%,18620
117.81,796%,18436
116.09,796%,19204
116.44,796%,18568
116.99,796%,18448
116.10,796%,18604
117.63,796%,18252
116.96,796%,18444
115.34,796%,18332
116.48,795%,18420
116.67,796%,18624
116.44,796%,18544
117.06,796%,18624
116.08,796%,18928
116.74,796%,18292
115.81,796%,18612
117.18,796%,18556
116.71,796%,18576
115.47,796%,18548
117.64,796%,18592
115.39,796%,18552
115.46,796%,18416
116.12,796%,18476
116.87,796%,18528
115.48,796%,18400
116.10,796%,18352
116.11,796%,18660
117.70,796%,18404
116.36,796%,18328
115.85,796%,18972
116.15,796%,18484
116.86,795%,18400
115.94,796%,18552
119.41,796%,18400
116.91,796%,18428
116.69,796%,18624
115.86,796%,18572
116.57,796%,18392
116.32,796%,18508
116.33,796%,18396
116.75,796%,18384
115.77,796%,18780
116.60,796%,18528
116.08,796%,18408
119.91,796%,18360
117.03,796%,18484
116.51,796%,18340
116.62,796%,18468
117.60,796%,18896
116.45,796%,18620
115.23,796%,18424
115.98,796%,18400
115.68,796%,18924
118.41,796%,18596
115.60,796%,18416
116.86,796%,18536
116.84,796%,18444
116.71,796%,18548
116.59,796%,18552
115.98,796%,18632
116.16,796%,18536
115.84,796%,18648
