runtime,cpu_usage,memory
0.93,99%,10880
0.93,99%,11136
0.93,99%,11008
0.93,100%,11264
0.93,99%,10752
0.93,99%,10880
0.93,100%,10752
0.93,99%,10996
0.94,99%,10752
0.93,99%,11136
0.93,99%,10752
0.93,99%,11136
0.93,99%,10880
0.93,99%,10880
0.93,99%,10860
0.93,99%,11136
1.77,99%,10880
2.40,99%,10880
0.93,99%,11136
0.93,99%,11008
0.93,100%,10880
0.93,99%,11136
0.93,99%,10752
0.93,99%,10880
1.01,99%,11008
2.39,99%,11136
1.63,99%,10752
0.93,99%,11008
0.93,99%,11008
0.93,99%,10880
0.93,99%,10984
0.93,99%,10880
0.93,99%,10880
0.93,99%,10996
0.93,99%,11108
0.93,99%,10880
0.93,99%,11008
1.92,99%,10752
2.28,99%,10980
0.93,99%,10880
0.93,99%,10880
0.92,99%,11136
1.11,99%,10880
2.37,99%,10880
1.53,99%,10880
0.93,99%,11000
0.93,99%,11136
0.93,99%,11008
0.93,99%,11008
0.93,99%,10832
0.93,99%,10880
0.93,99%,11264
0.94,99%,11008
0.93,99%,11264
0.94,99%,10880
0.94,99%,10880
0.93,99%,10980
2.05,99%,11004
2.14,99%,10752
0.93,99%,10880
0.93,100%,10880
0.94,99%,10996
0.93,99%,11008
0.93,99%,11008
0.93,99%,11008
0.93,99%,11244
0.93,99%,10880
0.93,99%,11132
0.93,99%,11136
1.39,99%,10752
2.39,99%,10880
1.25,99%,10880
0.93,99%,10752
0.93,99%,11008
0.93,99%,11120
0.93,99%,10880
0.93,99%,11264
0.93,99%,11008
0.93,99%,10880
0.93,99%,10860
0.93,99%,11136
0.93,99%,11008
0.93,99%,11248
0.94,99%,11136
0.94,99%,11008
0.95,99%,10880
0.93,99%,10880
0.94,99%,10880
0.93,99%,11136
0.94,99%,10880
0.93,99%,11008
0.94,99%,10880
1.07,99%,10880
2.38,99%,11008
1.59,99%,10880
0.93,99%,10880
0.93,99%,11136
0.93,99%,11008
0.93,100%,11232
0.94,99%,10868
