runtime,cpu_usage,memory
2.74,184%,1499052
2.63,183%,1498964
4.43,145%,1499044
3.33,192%,1498920
4.09,152%,1498856
3.53,199%,1499176
4.24,146%,1499112
3.55,198%,1498920
4.03,155%,1499236
3.65,202%,1499044
2.75,179%,1499044
2.96,169%,1499048
2.81,178%,1499108
3.02,167%,1499240
2.88,178%,1499044
3.27,196%,1498916
3.15,174%,1499112
4.65,210%,1498916
2.77,180%,1498916
4.91,206%,1499052
2.71,184%,1499048
5.01,201%,1498912
2.99,170%,1499048
2.95,169%,1498784
4.72,196%,1498920
2.95,169%,1499044
2.78,179%,1498984
3.24,196%,1499044
3.04,188%,1498916
3.06,175%,1499240
4.73,210%,1498924
2.75,182%,1498840
4.94,205%,1499092
2.76,179%,1498984
2.77,180%,1498916
4.81,155%,1499040
2.92,179%,1499096
5.20,152%,1499172
2.77,178%,1499240
2.84,179%,1499112
5.32,155%,1498916
2.74,183%,1498968
2.80,179%,1499104
2.92,177%,1498912
2.92,178%,1499044
2.79,180%,1499044
5.12,160%,1499044
2.83,178%,1498856
2.83,180%,1499044
3.41,182%,1498916
2.95,183%,1498964
3.10,171%,1498792
3.49,180%,1498916
3.03,189%,1498980
2.99,181%,1498916
3.23,192%,1498912
3.02,185%,1498984
3.17,173%,1499044
3.20,177%,1499040
3.02,184%,1498984
3.23,194%,1499052
3.05,184%,1498916
2.96,193%,1499052
3.04,186%,1498984
3.20,176%,1499044
3.03,182%,1499112
3.38,179%,1499048
3.05,185%,1499044
3.18,176%,1499044
3.02,183%,1498860
3.07,183%,1499172
3.43,179%,1498916
3.22,176%,1498916
3.01,177%,1498984
2.98,189%,1498796
3.05,184%,1499040
3.03,185%,1498916
3.06,184%,1499040
3.17,175%,1499044
3.21,175%,1498916
2.94,182%,1499040
3.04,188%,1498916
3.04,183%,1499112
3.38,182%,1498916
2.99,183%,1498916
3.15,173%,1498916
3.02,185%,1498916
3.18,172%,1499044
3.19,198%,1498916
3.16,177%,1499040
3.00,184%,1498916
3.19,172%,1498920
3.03,185%,1498916
3.40,181%,1499044
3.00,191%,1498924
3.15,177%,1498916
3.00,183%,1498984
3.29,191%,1499044
3.19,175%,1498964
3.04,188%,1498916
