runtime,cpu_usage,memory
63.02,99%,933636
57.02,99%,931956
69.09,99%,832620
61.90,99%,834148
69.06,99%,832520
61.77,99%,933908
66.36,99%,834980
66.08,99%,834464
67.00,99%,834736
65.33,99%,932152
65.48,99%,929816
63.30,99%,834508
62.93,99%,834284
66.31,99%,834356
68.81,99%,838564
66.95,99%,834212
63.94,99%,834820
68.88,99%,845060
68.46,99%,832280
66.45,99%,832472
67.44,99%,834432
64.07,99%,834556
68.28,99%,832408
67.68,99%,931912
63.71,99%,832684
66.43,99%,832756
68.81,99%,834360
68.91,99%,832540
63.93,99%,934732
69.01,99%,933636
67.46,99%,933456
65.68,99%,933636
68.48,99%,834416
65.05,99%,933888
65.57,99%,936576
65.39,99%,934020
64.45,99%,834508
66.17,99%,935960
65.10,99%,931760
66.90,99%,834616
65.17,99%,933952
64.08,99%,834416
65.47,99%,933252
62.86,99%,933940
67.45,99%,834632
67.74,99%,931628
63.66,99%,838704
66.28,99%,834616
67.05,99%,834416
66.89,99%,834616
65.42,99%,928064
65.69,99%,933568
62.88,99%,930284
63.88,99%,836460
64.23,99%,834608
68.37,99%,834296
66.73,99%,834168
67.66,99%,834784
80.35,99%,834360
66.31,99%,931572
68.10,99%,834364
65.04,99%,935748
67.24,99%,836508
68.59,99%,834596
66.73,99%,834472
68.75,99%,834336
64.05,99%,834360
67.15,99%,834712
64.35,99%,834608
68.40,99%,933536
66.04,99%,933960
68.09,99%,834340
66.27,99%,837168
66.60,99%,832432
64.05,99%,834676
69.70,99%,934116
65.66,99%,921952
66.22,99%,931272
67.04,99%,842764
65.40,99%,834896
66.16,99%,839792
65.75,99%,932024
65.93,99%,929716
68.50,99%,834472
62.69,99%,933704
64.73,99%,834448
64.38,99%,834100
72.37,99%,933984
66.75,99%,933732
68.22,99%,936072
66.36,99%,834372
67.01,99%,834848
66.49,99%,835188
67.22,99%,834356
65.81,99%,932828
65.57,99%,832612
68.39,99%,834468
66.77,99%,834584
68.45,99%,834476
66.30,99%,832764
