runtime,cpu_usage,memory
41.02,99%,76112
40.96,99%,76596
41.03,99%,75960
41.02,99%,76568
41.02,99%,76500
41.00,99%,76764
41.00,99%,76004
41.00,99%,76856
41.00,99%,76272
41.01,99%,76124
41.00,99%,76020
40.99,99%,76260
41.00,99%,76820
40.99,99%,76052
41.00,99%,76688
40.98,99%,76332
40.97,99%,76108
41.00,99%,76256
41.00,99%,76476
41.00,99%,76224
41.02,99%,76144
41.01,99%,76112
41.00,99%,76236
41.01,99%,76212
40.99,99%,76424
41.01,99%,76136
41.01,99%,76068
41.02,99%,76332
40.99,99%,75912
40.99,99%,76324
41.00,99%,76072
41.00,99%,76544
41.00,99%,76180
40.96,99%,76508
41.08,99%,75924
40.99,99%,76428
41.25,99%,76244
40.99,99%,76092
41.01,99%,76940
40.99,99%,76416
41.00,99%,76000
40.97,99%,76144
41.02,99%,76556
40.97,99%,76552
40.99,99%,76296
41.00,99%,76528
41.01,99%,76148
41.00,99%,76180
41.01,99%,76088
41.00,99%,77188
40.99,99%,76084
41.02,99%,75968
41.01,99%,76092
41.00,99%,76388
41.01,99%,76340
41.01,99%,76388
41.01,99%,76108
40.99,99%,76548
40.99,99%,76124
40.97,99%,77360
41.00,99%,76132
41.02,99%,76340
40.99,99%,76132
40.99,99%,76628
41.01,99%,76228
41.00,99%,76172
41.00,99%,76424
41.00,99%,76256
41.00,99%,76156
41.00,99%,76572
41.00,99%,76064
41.01,99%,76492
40.99,99%,76184
40.99,99%,76296
40.97,99%,76584
40.99,99%,77280
41.02,99%,75868
41.01,99%,76196
41.00,99%,76320
41.00,99%,76380
40.99,99%,76576
41.00,99%,76136
41.00,99%,76052
40.98,99%,76844
40.99,99%,77536
41.00,99%,76312
40.99,99%,76564
40.99,99%,75980
41.01,99%,76144
40.98,99%,76672
41.00,99%,76864
41.01,99%,76396
41.01,99%,76088
40.98,99%,76104
41.00,99%,76048
40.99,99%,76216
41.01,99%,76096
40.99,99%,76064
41.00,99%,76620
41.01,99%,76212
