runtime,cpu_usage,memory
29.23,99%,78808
29.41,99%,78556
29.32,99%,78764
29.15,99%,79448
29.25,99%,78524
29.74,99%,79000
29.66,99%,78332
29.38,99%,79096
29.57,99%,78656
29.41,99%,78748
29.22,99%,78528
29.43,99%,79140
29.19,99%,78772
29.47,99%,78824
29.45,99%,78844
29.28,99%,78648
29.44,99%,79488
29.38,99%,79312
29.45,99%,78768
29.46,99%,78588
29.67,99%,78556
29.24,99%,79056
29.06,99%,78672
29.59,99%,78516
29.26,99%,79108
29.35,99%,78724
29.56,99%,78836
29.71,99%,79588
29.77,99%,78784
29.43,99%,79784
29.58,99%,79100
29.36,99%,78700
29.41,99%,78600
29.44,99%,78676
29.46,99%,78676
29.64,99%,78400
29.34,99%,78776
29.03,99%,78616
29.44,99%,78680
29.54,99%,78768
29.59,99%,78712
29.48,99%,79412
30.09,99%,78504
29.27,99%,78336
29.38,99%,79428
29.51,99%,79680
29.42,99%,78604
29.46,99%,78660
29.42,99%,79528
29.53,99%,79004
29.47,99%,78304
29.77,99%,79012
29.43,99%,78760
29.45,99%,79388
28.94,99%,79268
29.22,99%,78656
29.78,99%,79008
29.30,99%,79284
29.17,99%,79224
29.24,99%,78912
29.87,99%,79624
29.52,99%,79184
29.42,99%,78672
29.76,99%,78732
29.47,99%,78612
29.27,99%,78692
29.49,99%,78628
29.19,99%,78996
29.40,99%,79332
29.42,99%,78524
29.21,99%,78672
29.16,99%,79368
30.02,99%,78700
29.53,99%,78500
29.02,99%,78864
29.21,99%,78652
29.53,99%,79012
29.31,99%,78680
29.49,99%,79912
29.46,99%,78416
29.77,99%,78804
29.22,99%,78668
29.63,99%,78624
29.34,99%,79976
29.22,99%,78504
29.25,99%,78796
29.43,99%,79872
29.37,99%,78756
29.73,99%,78484
29.65,99%,78416
29.44,99%,78756
30.21,99%,78612
29.57,99%,78496
29.21,99%,78660
29.50,99%,78472
29.65,99%,79504
29.42,99%,78904
29.68,99%,78532
29.22,99%,79744
29.21,99%,78856
