runtime,cpu_usage,memory
7.18,99%,78024
7.18,99%,78152
7.17,99%,78008
7.18,99%,78960
7.19,99%,77944
7.19,99%,78192
7.18,99%,79268
7.20,99%,78960
7.16,99%,77956
7.19,99%,78208
7.18,99%,78216
7.16,99%,78216
7.18,99%,78196
7.18,99%,78092
7.17,99%,78048
7.18,99%,78072
7.18,99%,78032
7.17,99%,78216
7.18,99%,78264
7.17,99%,78272
7.17,99%,78068
7.17,99%,79204
7.17,99%,78112
7.19,99%,78548
7.17,99%,78280
7.16,99%,77768
7.18,99%,78220
7.18,99%,78088
7.18,99%,78072
7.17,99%,79140
7.18,99%,78124
7.17,99%,78252
7.17,99%,78272
7.18,99%,78232
7.17,99%,79368
7.16,99%,78292
7.18,99%,78416
7.18,99%,78340
7.16,99%,78336
7.17,99%,78060
7.21,99%,78592
7.19,99%,77948
7.18,99%,77864
7.18,99%,78124
7.17,99%,78236
7.19,99%,78244
7.16,99%,78128
7.18,99%,78368
7.20,99%,78220
7.17,99%,78368
7.16,99%,78200
7.18,99%,78228
7.19,99%,78072
7.19,99%,78124
7.19,99%,78796
7.18,99%,78200
7.17,99%,78004
7.19,99%,78812
7.17,99%,78384
7.19,99%,78028
7.17,99%,78260
7.18,99%,79460
7.18,99%,78264
7.17,99%,77908
7.18,99%,78176
7.17,99%,79064
7.18,99%,78384
7.17,99%,79000
7.19,99%,78284
7.16,99%,78072
7.17,99%,78344
7.18,99%,78972
7.15,99%,78540
7.17,99%,78028
7.17,99%,78268
7.18,99%,79460
7.19,99%,77996
7.18,99%,77976
7.17,99%,78484
7.18,99%,78296
7.17,99%,78180
7.18,99%,78148
7.17,99%,77988
7.18,99%,78480
7.18,99%,78196
7.19,99%,78044
7.21,99%,78172
7.18,99%,78196
7.20,99%,78644
7.18,99%,78520
7.17,99%,78044
7.17,99%,78260
7.17,99%,78476
7.17,99%,78148
7.18,99%,78316
7.18,99%,78580
7.17,99%,78592
7.17,99%,78272
7.18,99%,78260
7.17,99%,78432
