runtime,cpu_usage,memory
53.37,99%,2047276
52.73,99%,2047716
52.24,99%,2048208
52.73,99%,2046952
52.60,99%,2047928
52.37,99%,2047336
52.28,99%,2047676
52.95,99%,2047624
52.09,99%,2049160
52.56,99%,2048316
53.89,99%,2050996
52.37,99%,2048560
53.24,99%,2048716
52.36,99%,2049792
52.19,99%,2048108
53.28,99%,2048064
52.92,99%,2049768
53.69,99%,2047480
52.64,99%,2047460
53.54,99%,2047800
52.81,99%,2048200
52.60,99%,2047500
52.47,99%,2047524
53.19,99%,2047128
52.56,99%,2047436
52.83,99%,2048280
52.27,99%,2047988
53.16,99%,2047824
53.09,99%,2048452
52.69,99%,2046952
52.41,99%,2048612
53.06,99%,2047652
53.03,99%,2047740
52.20,99%,2047820
52.91,99%,2049972
53.79,99%,2048212
52.34,99%,2047336
52.22,99%,2047168
52.94,99%,2047204
52.77,99%,2047944
52.90,99%,2048228
52.93,99%,2049172
53.44,99%,2047212
54.06,99%,2047528
52.25,99%,2048640
51.99,99%,2048008
53.37,99%,2047504
53.33,99%,2047552
53.47,99%,2047472
53.13,99%,2048688
52.48,99%,2047092
53.26,99%,2046756
54.12,99%,2047436
52.05,99%,2047468
52.17,99%,2047892
52.46,99%,2047568
53.43,99%,2046800
52.41,99%,2048304
52.51,99%,2046840
52.78,99%,2047952
52.09,99%,2047424
52.65,99%,2047448
52.17,99%,2048420
52.51,99%,2047508
52.52,99%,2047268
52.78,99%,2048232
53.34,99%,2048336
52.66,99%,2046532
53.04,99%,2048248
52.20,99%,2047336
52.76,99%,2048124
52.24,99%,2047444
52.01,99%,2047968
52.55,99%,2050688
52.86,99%,2048032
52.24,99%,2047836
52.59,99%,2047576
52.71,99%,2048892
52.98,99%,2047364
52.14,99%,2048968
52.11,99%,2047224
52.17,99%,2047512
52.93,99%,2047524
52.21,99%,2048356
52.38,99%,2048908
52.22,99%,2047724
52.84,99%,2047616
52.42,99%,2049352
52.20,99%,2050068
52.27,99%,2047548
53.03,99%,2047440
52.70,99%,2048224
52.53,99%,2046820
52.73,99%,2047848
52.41,99%,2047904
52.73,99%,2047840
53.23,99%,2047168
51.91,99%,2047412
53.02,99%,2045828
52.51,99%,2048228
