runtime,cpu_usage,memory
24.54,99%,74348
29.12,99%,74724
29.24,99%,73200
29.23,99%,74396
31.69,99%,74324
21.95,99%,74656
26.83,99%,74648
24.38,99%,74088
21.95,99%,74600
29.34,99%,74396
29.25,99%,74400
26.82,99%,74280
31.68,99%,74460
26.82,99%,74392
29.24,99%,73140
21.94,99%,74188
29.25,99%,74304
28.72,99%,74720
27.24,99%,74472
26.84,99%,74596
31.67,99%,74356
26.82,99%,74276
27.80,99%,72904
23.28,99%,71900
29.25,99%,74464
21.95,99%,74336
29.25,99%,74272
29.26,99%,74380
29.26,99%,74908
29.26,99%,74392
29.25,99%,74468
27.63,99%,74272
23.46,99%,74332
29.26,99%,74792
29.93,99%,74204
30.89,99%,72744
29.26,99%,74520
26.83,99%,74188
29.26,99%,74344
29.26,99%,74344
29.25,99%,74072
29.25,99%,72920
30.18,99%,73004
28.23,99%,74332
29.23,99%,73260
31.43,99%,74488
29.40,99%,74328
29.27,99%,74604
24.38,99%,71608
29.26,99%,74644
28.18,99%,74272
27.80,99%,74388
29.25,99%,74548
24.36,99%,74268
21.95,99%,74332
21.94,99%,74336
24.37,99%,74460
29.25,99%,71868
24.37,99%,75008
31.31,99%,74424
27.23,99%,74648
31.70,99%,74752
24.37,99%,74360
21.94,99%,74116
24.37,99%,74724
21.94,99%,74336
24.44,99%,74460
24.39,99%,74316
29.25,99%,74396
29.80,99%,74384
23.71,99%,74472
29.26,99%,74648
29.65,99%,74392
31.19,99%,74480
31.68,99%,73696
29.26,99%,72824
30.95,99%,74328
31.07,99%,74516
31.11,99%,74612
30.80,99%,74204
29.26,99%,74464
31.69,99%,72988
29.26,99%,73028
29.26,99%,71976
30.62,99%,74268
27.78,99%,74368
29.84,99%,71616
30.99,99%,74524
29.24,99%,74396
26.81,99%,74268
29.26,99%,74364
26.82,99%,74340
21.94,99%,74196
29.25,99%,74544
31.69,99%,74268
21.93,99%,74516
31.81,99%,75152
26.82,99%,74240
21.95,99%,74440
23.15,99%,74596
