runtime,cpu_usage,memory
28.70,509%,426328
28.87,508%,427852
28.63,510%,426332
28.66,508%,427916
28.53,508%,427148
28.53,509%,426716
28.60,507%,427736
28.51,510%,427740
28.63,509%,427868
29.00,506%,427964
28.57,511%,427020
28.45,511%,426464
28.50,511%,427740
28.83,508%,428092
28.68,511%,426892
28.66,509%,427740
28.73,507%,427740
28.39,511%,426592
28.61,508%,427148
28.78,509%,427740
28.70,508%,427612
28.66,508%,427020
28.63,509%,427196
28.55,508%,427964
28.79,509%,426332
28.85,508%,428092
28.63,511%,426508
28.69,509%,427916
28.78,508%,427740
28.47,512%,427740
28.86,509%,427744
28.83,507%,427740
28.51,511%,426972
28.52,511%,427556
28.74,508%,427740
28.47,511%,426844
28.59,507%,426332
28.69,508%,427612
28.58,511%,427740
28.52,509%,427740
28.52,510%,427020
28.53,508%,427744
28.57,508%,427740
28.60,509%,427612
28.53,512%,427916
28.70,509%,427196
28.59,508%,427744
28.63,509%,427868
28.74,509%,427068
28.58,510%,427868
28.52,508%,426976
28.81,509%,427960
28.65,509%,428040
28.61,506%,427612
28.65,508%,427868
28.63,507%,427836
28.65,508%,426844
28.74,507%,426844
28.95,507%,426332
28.66,509%,426332
28.80,507%,427964
28.83,508%,427148
28.70,511%,426456
28.52,509%,427740
28.49,512%,427740
28.52,508%,427744
28.53,508%,427916
28.46,512%,427740
28.71,507%,427872
28.63,508%,427104
28.61,511%,426968
28.73,508%,427740
28.62,509%,427572
28.49,508%,427740
28.69,508%,427984
28.56,508%,427740
28.55,509%,427916
28.57,508%,427180
28.48,511%,427964
28.64,508%,426464
28.67,508%,427916
28.70,509%,427736
28.65,510%,427872
28.55,511%,426636
28.57,511%,427740
28.52,510%,426332
28.70,513%,427736
28.69,508%,427740
28.61,508%,427836
28.71,508%,426508
28.63,507%,427868
28.76,508%,427916
28.59,508%,427836
28.79,507%,427020
28.56,509%,426844
28.64,506%,427744
28.63,509%,428044
28.71,508%,427872
28.60,506%,427916
28.60,508%,426972
