runtime,cpu_usage,memory
543.35,764%,29952
542.63,762%,29696
540.64,765%,29824
545.28,765%,29824
541.19,767%,29568
545.83,763%,29824
545.06,760%,29696
547.64,767%,29824
541.38,768%,29696
536.43,772%,29440
536.89,766%,29696
543.31,761%,29696
546.01,765%,29696
543.93,761%,29696
540.20,762%,29440
544.54,764%,29696
538.40,767%,29696
538.92,763%,29696
537.94,765%,29696
538.47,764%,29440
536.92,768%,29440
548.14,764%,29824
541.37,760%,29568
545.85,763%,29824
544.91,768%,29696
536.29,770%,29696
540.32,764%,29952
538.25,767%,29824
540.19,765%,29568
542.13,766%,29952
537.19,767%,29824
541.33,763%,29696
541.34,769%,29696
541.96,767%,29696
540.83,765%,29568
537.29,765%,29696
540.75,764%,29952
537.49,764%,29568
542.01,765%,29696
543.95,765%,29696
538.70,767%,29440
540.13,763%,29568
542.64,766%,29440
539.11,768%,29696
537.52,763%,29824
539.39,765%,29568
538.75,764%,29824
539.59,766%,29312
540.37,762%,29824
537.48,765%,29696
535.93,768%,29824
538.45,762%,29824
541.47,769%,29568
540.64,763%,29824
540.99,768%,29824
546.65,763%,29696
540.92,766%,29696
537.07,768%,29824
540.06,768%,29952
536.71,766%,29696
543.62,761%,29440
539.20,767%,29568
554.66,767%,29696
541.55,763%,29952
537.81,770%,29696
536.20,772%,29696
542.83,763%,29824
543.91,766%,29568
536.73,763%,29696
537.90,765%,29440
538.27,768%,29952
536.13,765%,29568
544.20,767%,29696
542.23,763%,29440
538.28,765%,29824
541.63,762%,29696
538.25,766%,29568
537.78,764%,29696
538.76,769%,29568
539.78,766%,29824
538.97,763%,29696
537.96,762%,29824
541.70,764%,29952
542.18,767%,29696
537.06,762%,29568
544.01,765%,29696
537.96,764%,29696
543.38,762%,29824
540.33,764%,29952
539.97,767%,29440
540.08,766%,29696
537.80,765%,29440
539.42,763%,29824
535.57,765%,29696
541.58,764%,29952
544.89,764%,29696
546.75,767%,29824
546.81,762%,29696
540.00,766%,29696
539.07,765%,29824
