runtime,cpu_usage,memory
38.43,100%,119040
44.18,99%,119040
50.34,99%,119040
48.96,99%,118912
49.00,99%,118912
49.55,99%,118912
48.64,99%,118912
49.88,99%,119040
51.75,99%,119040
48.57,99%,119040
49.45,99%,119040
45.55,99%,119040
48.72,99%,118912
48.51,99%,119040
51.05,99%,119040
50.51,99%,119168
48.58,99%,119040
49.57,99%,119040
46.06,99%,118912
48.89,99%,119040
49.66,99%,118912
49.65,99%,119040
50.00,99%,119040
50.48,99%,119040
49.41,99%,118912
49.60,99%,118912
50.60,99%,119040
49.93,99%,118912
48.71,99%,119040
46.52,99%,118912
48.92,99%,118912
49.31,99%,119040
49.29,99%,119040
45.72,99%,118912
48.94,99%,119040
49.39,99%,118784
48.56,99%,119040
49.49,99%,119040
49.77,99%,118912
49.62,99%,119040
49.11,99%,119040
48.80,99%,118912
48.53,99%,118912
45.91,99%,119040
50.50,99%,119040
49.47,99%,118784
45.89,99%,118912
49.56,99%,118912
50.67,99%,118912
46.56,99%,119040
49.21,99%,118912
50.47,99%,119040
49.78,99%,118784
52.10,99%,119040
53.86,99%,119040
49.19,99%,118912
49.59,99%,119040
49.52,99%,119040
49.82,99%,119040
45.94,99%,119040
48.14,99%,119040
48.60,99%,118784
48.75,99%,118912
49.16,99%,118912
49.38,99%,119040
46.03,99%,119040
50.21,99%,118912
49.39,99%,119040
49.56,99%,119040
50.20,99%,119040
51.56,99%,118912
48.85,99%,119040
48.60,99%,118912
46.34,99%,119040
52.45,99%,118912
49.63,99%,118912
49.96,99%,119040
49.88,99%,119040
50.23,99%,119040
48.72,99%,118912
48.83,99%,119040
48.55,99%,119040
46.02,99%,118912
50.54,99%,119040
50.70,99%,119040
45.70,99%,119168
46.52,99%,119040
49.43,99%,119040
51.14,99%,119040
49.12,99%,119168
48.70,99%,118912
49.38,99%,118912
49.73,99%,119040
46.12,99%,118912
48.13,99%,119040
48.69,99%,118912
49.45,99%,119168
48.82,99%,119040
49.81,99%,119040
47.40,99%,119168
